NOTA;PROJETO;TÍTULO;MUNICÍPIO;PLANO;CRITÉRIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;PERFIL;ORIGEM_ETL;FAIXA;TITULO;MUNICIPIO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;V. REAL;RESUMO LV;Nº PES;DATA DESL;CRITERIO;COORDENADAS;PG'S;LINK PROJETO;CONCRETO;% POSTES;% CAVAS;OBS CAVA;CAT;DT DESL;AS BUILT;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG
9102025021;B-1122959;AC CIND POV SANTO EUSEBIO RURAL;QUEIMADAS;;QLP;22;22;;7;;2025-02-27 00:00:00;ALAN;JEFERSON ;;;6-15 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101908619;B-1089356;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;QUEIMADAS;;ESTADUAL;43;;;;;;;ERIELTON ;;;;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102095610;B-1151080;AC-CIND-RUA-25 DE JANEIRO-SANTOS DUMONT;SENHOR DO BONFIM;;RECLAMAÇÃO;1;1;;0;;2025-02-19 00:00:00;DICSON;JOILSON;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101911590;B-1089429;MP CIND FAZ MANCAMBIRA RURAL;SENHOR DO BONFIM;;ESTADUAL;24;24;;3;;2025-02-28 00:00:00;DICSON;JOILSON ;;;16-50 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101662765;B-1044080;MP-CCOL-POV-CACO DE TELHA-RURAL;SENHOR DO BONFIM;;ESTADUAL;24;24;;3;;2025-02-27 00:00:00;DICSON;BADU;;;16-50 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102131406;B-1160399;UB-CIND-RUA-ANA IZABEL MUNIZ-CENTRO;FILADÉLFIA;;DIA C;5;;;;;;;GESONI ;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102134827;B-1165543;UB-CIND-RUA-SIMOES-N S DA CONCEI  O;ITIÚBA;;DIA C;3;;;;;;;ISRAEL ;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102121141;B-1161715;ER-CIND-POV-ENGORDA-RURAL;MONTE SANTO;;DIA C;2;;;;;;;;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102106606;B-1157312;AC-CIND-POV-LAGOA DO SACO-RURAL;MONTE SANTO;;DIA C;5;;;;;;;;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102084887;B-1149258;ER-SEIN-FAZ-LAGOA DOS BOIS-RURAL;NORDESTINA;;DIA C;5;;;;;;;;;;0-5 POSTES;Fevereiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
