CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;ORIGEM_ETL;VALOR 25%;LINK MAPS;PRE FECHAMENTO;OBS;TITULO;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;CRITERIO;ESTÁGIO DE OBRAS;RESPONSÁVEL;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1
;;1182181;;CURAÇÁ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;EDIE JONNES;;-9.0139747;-39.9234207;;SETEMBRO;;;;;;;;Novembro 25;;;;;ER-CIND-FAZ-DO CANTO 1-A-RURAL-CURACA;;;;;;;;;;;CONCLUÍDA;CARLOS EDUARDO;1;1;1;;10/09/2025;10/09/2025;;SIM;NÃO;;Ver no Mapa;19/09/2025;19/09/2025;19/09/2025;19/09/2025;
;;997469;;SENTO SÉ;;MIGRAR;;;;;;;;;;14.7.3;100%;;;;;JACSON;SANTIAGO;;-10.2638619;-41.3329393;;SETEMBRO;;;;;;;;Novembro 25;;;;OURO;ER-CIND-POV-ALMAS-ALEGRE;;;;;;;;;;;LOCADA;DIEGO ALMEIDA;2;43;;;23/09/2025;30/09/2025;;NÃO;;;Ver no Mapa;;;;;
;;1175575;;SOBRADINHO;;MIGRAR;;;;;;;;;;7.1.2.3;100%;;;;;PEDRO LINO;ANDERSON;;-9.5095062;-40.7745147;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-CIND-POV-LAGOA GRANDE-RURAL;;;;;;;;;;;VISITA PRÉVIA;DIEGO ALMEIDA;1;5;;10/09/2025;10/09/2025;29/09/2025;;;;;Ver no Mapa;;;;;
;;1216207;;CURAÇÁ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;EDIE JONNES;;-8.8554171;-39.8999118;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-CIND-FAZ-SURUBIM 33-RURAL;;;;;;;;;;;CONCLUÍDA;CARLOS EDUARDO;1;1;1;;17/09/2025;17/09/2025;;SIM;NÃO;;Ver no Mapa;30/09/2025;30/09/2025;30/09/2025;01/10/2025;
;;1191546;;JUAZEIRO;;CONCLUÍDA;;;;;;;;;;8.2.2.3;100%;;;;;PAULO;SANTIAGO;;-9.5864444;-40.6077291;;SETEMBRO;;;;;;;;Novembro 25;;;;EQUIPAMENTO;IE-RELIGADOR-NCU-01Z4-B360628;;;;;;;;;;;ENERGIZADA;VICTOR BARROS;1;1;1;;05/09/2025;09/09/2025;;SIM;;;Ver no Mapa;;;11/09/2025;12/09/2025;
;;1146807;;SOBRADINHO;;MIGRAR;;;;;;;;;;8.4.1.1;100%;;;;;MANUTENÇÃO;ANDERSON;;-9.5366625;-40.9057719;;SETEMBRO;;;;;;;;Novembro 25;;;;FALTOU POSTE;NT-RECOND-SBO-01S4-D134830-Q023936;;;;;;;;;;;ESCAVAÇÃO;DIEGO ALMEIDA;1;2;;;10/09/2025;11/09/2025;19/09/2025;SIM;;;Ver no Mapa;;;;;
;;1211868;;SOBRADINHO;;MIGRAR;;;;;;;;;;7.1.2.3;100%;;;;;PEDRO LINO;ANDERSON;;-9.7731554;-40.9472304;;SETEMBRO;;;;;;;;Novembro 25;;;;;ER-CIND-POV-SALGADINHA-SALGADINHA;;;;;;;;;;;NÃO INICIADA;DIEGO ALMEIDA;1;2;;30/09/2025;30/09/2025;30/09/2025;;;;;Ver no Mapa;;;;;
;;1120277;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;SANTIAGO;;-9.75338;-41.8858;;SETEMBRO;;;;;;;;Novembro 25;;;;;MP-CCOL-RUA 03-RURAL;;;;;;;;;;;ENERGIZADA;SANDRO SANTOS;1;23;28;;;;;SIM;SIM;;Ver no Mapa;;;03/09/2025;03/09/2025;
;;1207641;;JUAZEIRO;;CONCLUÍDA;;;;;;;;;;7.1.1.3;100%;;;;;PEDRO LINO;ANDERSON;;-9.4575426;-40.4847795;;OUTUBRO;;;;;;;;Novembro 25;;;;;AC-CIND-ROD-LOMANTO JUNIOR-D INDUST;;;;;;;;;;;CONCLUÍDA;VICTOR BARROS;1;1;0;04/10/2025;04/10/2025;04/10/2025;;SIM;NÃO;;Ver no Mapa;04/10/2025;04/10/2025;04/10/2025;06/10/2025;
;;1211884;;JUAZEIRO;;CONCLUÍDA;;;;;;;;;;7.1.1.3;100%;;;;;PEDRO LINO;ANDERSON;;-9.4180224;-40.507459;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-GRUA-AV-RAUL ALVES-SANTO ANTONIO;;;;;;;;;;;CONCLUÍDA;VICTOR BARROS;;1;;;23/09/2025;23/09/2025;;SIM;NÃO;;Ver no Mapa;;;;;
;;1182825;;SOBRADINHO;;CONCLUÍDA;;;;;;;;;;14.4.12.1;100%;;;;;JUAREZ;EDIE JONNES;;-9.5313599;-40.8351835;;NOVEMBRO;;;;;;;;Novembro 25;;;COMPLETO;;ER-CIND-POV-TATAUI-RURAL- SOBRADINHO;;;;;;;;;;GOVERNO;ENERGIZADA;SANDRO SANTOS;1;5;5;;17/11/2025;18/11/2025;;NÃO;NÃO;;Ver no Mapa;10/11/2025;14/11/2025;14/11/2025;SIM;
;;1209633;;UAUÁ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JUAREZ;EDIE JONNES;;-9.7212662;-39.4896367;;SETEMBRO;;;;;;;;Novembro 25;;;;;ER-CIND-POV-CARRO QUEBRADO-RURAL;;;;;;;;;;;CONCLUÍDA;CARLOS EDUARDO;1;1;;19/09/2025;19/09/2025;19/09/2025;;SIM;NÃO;;Ver no Mapa;19/09/2025;19/09/2025;19/09/2025;19/09/2025;
;;1129557;;JUAZEIRO;;CONCLUÍDA;;;;;;;;;;7.1.6.3;100%;;;;;ITALO LV;ANDERSON;;-9.456333;-40.710528;;SETEMBRO;;;;;;;;Novembro 25;;;;SOLICITAÇÃO EDVALDO 18/09 SO LV;IT-GRUA-FAZ-SAO GONCALO-RURAL;;;;;;;;;;;CONCLUÍDA;;1;1;;;;;;SIM;NÃO;;Ver no Mapa;23/07/2025;22/09/2025;22/09/2025;23/09/2025;
