PROJETO_FATO;Carteira;COORD;% CAVAS;% POSTES;AR;AS BUILT;AVANÇO;AVNR;BOOK;CAVD;CAVR;CLIENT.;CLIET.;CLIET. PREV;CLIET. REAL;CONCRETO;COORDENADAS;CRITERIO;DATA DESL;DESLIG;DEVOLUÇAO;DIAS;DIAS.1;DIAS.2;DT DESL;DT. SEPARAÇÃO;ENCARREGADO;ENERGIZAÇÃO;EQPP;EQPR;FAIXA;FIM;INICIO;LAT;LATITUDE;LINK PROJETO;LONG;LONGITUDE;LV;MUNICIPIO;NOTA;Nº PES;OBRAS SIMPLIFICADAS;OBS;OBS CAVA;PERFIL;PES DESLIG;PES S/I;PG'S;PLANO;PROJETO;PRÉ FECHAMENTO;PST EXEC;PSTP;PV. FIM;PV. INICIO;PV. INÍCIO;RDEP;RDER;REFERÊNCIA;RESERVA;RESUMO;RESUMO LV;SACADO;STATUS;SUPERVISOR;TÍTULO;V. PRJ 25%;V. PROJETO;V. REAL;VISITA PRÉVIA
1195841;01/10/2025;SENHOR DO BONFIM;0,0%;100%;;;100%;;;;;;1;;;2;-10,4605865, -39,2612516;QLP;;;;;;;;06/10/2025;ANAILTON;;;;;;;;;https://drive.google.com/file/d/10hAjidpSjethJXun3uV91gg5_28hEfjx/view?usp=drive_link;;;;MONTE SANTO;;127161 BT;;;;;123362;;E875150 – E875151;PLANO 14;;TRUE;;2;25/10/2025;;20/10/2025;;;D143859;;LV + BT;2 N1;;NÃO DEFINIDO;;ER-CIND-POV-LAGE 3652-LAGE;;R$ 12.344,10;;
1207817;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;6;;1;;;6;-10,5604559, -40,1315522;PRIORIDADE PLANO ANEEL;;;;;;;;20/10/2025;REGINALDO;;;;;;;;;https://drive.google.com/file/d/1_XMElTiYZrazbvLG92Ii5SfUM_7zzSf8/view?usp=drive_link;;;;SENHOR DO BONFIM;;123277 (BT);FALSE;;;;123343;;E875348 – E875353;PLANO 7;;TRUE;;6;25/10/2025;;20/10/2025;;;Q049592;;DESL + LV + BT;N1;;Energizada;;ER-CIND-FAZ-TANQUINHO 66-TIJUACU;;R$ 27.493,60;;FALSE
1211134;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;6;;2;;;6;-10,2229701, -39,409205;PRIORIDADE PLANO ANEEL;;;;;;;;06/10/2025;JOSE;;;;;;;;;https://drive.google.com/file/d/1jJlKToSQlaG62EXkuCgqWIHbW0o11yed/view?usp=drive_link;;;;MONTE SANTO;;125893(LV) 124159 (EN) ;;;;;;;E875359 – E875364;PLANO 14;;TRUE;;6;11/10/2025;;06/10/2025;;;A284391;;LV + ENERGZ;N1 C/ TRF;FALSE;Energizada;;ER-CIND-POV-SACO FUNDO 24-RURAL;;R$ 58.994,65;;
1213503;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;5;;1;;;5;-10,3808554, -40,0701585;PRIORIDADE PLANO ANEEL;;;;;;;;01/10/2025;JOILSON;;;;;;;;;https://drive.google.com/file/d/1EAI3KYXGJOWbzz18J8aKVZE8BAkhpfHs/view?usp=drive_link;;;;SENHOR DO BONFIM;;121424 BT;FALSE;;;;;;E875354 – E875358;PLANO 14;;TRUE;;5;10/10/2025;;06/10/2025;;;Q045765;;BT;;TRUE;Energizada;;ER-CIND-POV-PEREIROS-RURAL;;R$ 25.319,43;;FALSE
1199296;01/10/2025;SENHOR DO BONFIM;0,0%;100%;;;100%;;;;;;1;;;2;-10,4535805, -39,5306571;QLP;;;;;;;;06/10/2025;ANAILTON;;;;;;;;;https://drive.google.com/file/d/1Tg2ep-sc3cXCJ8ff3PXUxu7WwJvzY1v4/view?usp=drive_link;;;;MONTE SANTO;;127180 BT;;;;;;;E875155 – E875156;PLANO 7;;TRUE;;2;25/10/2025;;20/10/2025;;;D154864;;BT;;;Energizada;;AC-CIND-FAZ-FELICIANO-RURAL;;R$ 11.810,71;;
1200674;01/10/2025;SENHOR DO BONFIM;0,0%;100%;;;100%;;;;;;1;;;5;-10,9210645, -39,9412907;QLP;;;;;;;;13/10/2025;GESONI;;;;;;;;;https://drive.google.com/file/d/18ZF9Qq8JVg4GFYxbbO4i-8WenlIsK2HK/view?usp=drive_link;;;;QUEIMADAS;;123154 BT;FALSE;;;;128905;;E875365 – E875369;PLANO 14;;TRUE;;5;25/10/2025;;20/10/2025;;;B565390;;LV + BT;2 N1;TRUE;NÃO DEFINIDO;;ER-CIND-FAZ-VARZEA GRANDE-VARZEA GRANDE;;R$ 35.253,30;;FALSE
1195013;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;4;;1;;;4;-10,4368644, -39,3214137;QLP;;;;;;;;06/10/2025;OSMAR;;;;;;;;;https://drive.google.com/file/d/1kp3yWRVvXEM2lwWfRD1fgUAxHdgV09wR/view?usp=drive_link;;;;MONTE SANTO;;122237 BT;;;;;;;E875385 – E875388;PLANO 7;;TRUE;;4;11/10/2025;;06/10/2025;;;D765825;;BT;;;Energizada;;UB-CIND-RUA-CENTENARIO DA REP-ALTO DA C;;R$ 30.807,46;;
1212968;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;4;;1;;;8;-10,5068992, -40,3303808;PRIORIDADE PLANO ANEEL;;;;;;;;07/10/2025;ISRAEL;;;;;;;;;https://drive.google.com/file/d/1O_R2bl3izf3-rTAiMkWyBYvSHpoCbhdy/view?usp=drive_link;;;;CAMPO FORMOSO;;120712 BT;;;;;;;E875279 – E875282;PLANO 7;;TRUE;;4;11/10/2025;;07/10/2025;;;D696755;;BT;;TRUE;Energizada;;UB-CIND-RUA-DA CHACARA 957-ESPLANADA;;R$ 23.320,80;;
1175534;01/10/2025;SENHOR DO BONFIM;100,0%;100%;;;100%;;;;4;;0;;;4;-10,4962477, -40,3257289;PRIORIDADE PLANO ANEEL;;;;;;;;07/10/2025;ISRAEL;;;;;;;;;https://drive.google.com/file/d/1L9XOC0qeRg6v2KsF1Ptbvhh3hPZN_9Yj/view?usp=drive_link;;;;CAMPO FORMOSO;;120680 BT;;;;;;;E875283 – E875286;PLANO 7;;TRUE;;4;11/10/2025;;07/10/2025;;;E638589;;BT;;TRUE;Energizada;;UB-CIND-RUA-DAS VIOLETAS-VILA DOS RICOS;;R$ 37.229,65;;
1199274;01/10/2025;SENHOR DO BONFIM;0,0%;100%;;;100%;;;;;;1;;;2;-10,4684228, -39,2720763;QLP;;;;;;;;06/10/2025;ANAILTON;;;;;;;;;https://drive.google.com/file/d/1GLaUABIkivH2ZfSJMp6st-H-kWR1YRQO/view?usp=drive_link;;;;MONTE SANTO;;137410 BT;;;;;;;E875157 – E875158;PLANO 7;;TRUE;;2;31/10/2025;;27/10/2025;;;D139987;;BT;;TRUE;Energizada;;ER-CIND-FAZ-FZ PEDRA-PEDRA;;R$ 13.325,25;;
