NOTA;PROJETO;TÍTULO;;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV / VLR PROJETO;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102165670;B-1188710;ER-CIND-POV-MANICOBA-RURAL;PIRITIBA;ENERGIZADA;;;;;;10/04/25;10/04/25;;2025-44071;2025-44074;;;;;;1;4;4;4;4;100,00%;100%;;;17/04/2025;PES 44074 / OC 44832;;;;R$ 27.638,97;R$ 7.900,00;R$ 7.900,00;R$ 1.975,00;29%;;;PES DE LV -  INTERCALAR POSTE AT ENTRE OS PG'S E319824 E E319823 E ENERGIZAR A  OBRA. PES BT - ENCABEÇAR REDE BT NO PG E319825 E ENERGIZAR A OBRA;;JACOBINA;2025-04-01;1188710;Consolidado;N/A
9102159782;B-1177897;ER-CIND-POV ALCAPAO-RURAL;OUROLÂNDIA;DIA C;;;;;;10/04/25;10/04/25;;;;;;;;;;4;;;4;100,00%;0%;;;;;;;;R$ 23.462,66;R$ 6.270,00;R$ 6.270,00;R$ 1.567,50;27%;;;;;JACOBINA;2025-04-01;1177897;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000nan;Consolidado;N/A
;PROJ;POSTES PREVISTOS;PST ENERGIZADO;PENDENTE ENERGIZAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;000PROJ;Consolidado;N/A
TOTAL;36;694;229;465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000036;Consolidado;N/A
CARTEIRA DE ABRIL APENAS OBRAS NOVAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000nan;Consolidado;N/A
PERFIL;PROJ;POSTES PREVISTOS;PST ENERGIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;000PROJ;Consolidado;N/A
0 a 5 postes;12;27;11;;;,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000012;Consolidado;N/A
6 a 15 postes;3;36;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000003;Consolidado;N/A
16 a 50 postes;3;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000003;Consolidado;N/A
50 a 100 postes;3;175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-04-01;0000003;Consolidado;N/A
