NOTA;PROJETO;TÍTULO;MUNICÍPIO;ENCARREGADO;STATUS;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV X VLR PROJETO;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102141784;B-1172021;ER-CIND-FAZ-PE DE SERRA-RR-SERROLANDIA;SERROLÂNDIA;ALESSANDRO;ENERGIZADA;ANDERSON;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;26/09/2025;07/10/2025;09/10/2025;;;2025-130449;2025-121175;21/10/2025;APROVADO;;E863241;1;1;;;;100%;;21/10/25;21/10/25;;;D238961;-11,4063739;-40,2960127;R$ 17.510,26;;0%;R$  (434,54);0%;;ABRIR CHAVE H87190 PARA INTERCALAR POSTE ENTRE OS PGS D238961 E D238962, INSTALAR TRAFO E ENERGIZAR OBRA.(ATERRAR PG'S D238961 E D238962);;JACOBINA;2025-10-01;1172021;Consolidado;N/A
9102323761;B-1221797;ER-CIND-POV-PAU FERRO DE BAIXO-JACOBINA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;07/10/2025;09/10/2025;;;;2025-121117;22/10/2025;APROVADO;;E857533;1;1;;1;;100%;;22/10/25;22/10/25;;;E427117;-11.167.399;-40,622857;R$ 21.915,75;R$  2.262,45;226245%;R$  2.262,45;10%;;ABRIR CHAVE V45564 PARA INTERCALAR POSTE ENTRE OS PGS E427117 E E427118, INSTALAR TRAFO E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: E427118 E E427117 CI: 1 CHI: 6;;JACOBINA;2025-10-01;1221797;Consolidado;N/A
9102325313;B-1223589;ER-CIND-POV-TAPIRANGA-RURAL;MIGUEL CALMON;JOAOZITO;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;08/10/2025;10/10/2025;;2025-127831;2025-129617;;;;;E857565 AO E857568;1;4;4;3;;100%;;22/10/25;31/10/25;;;R037724;-11,444898;-40,4806627;R$ 46.259,45;R$  7.285,96;2185788%;R$  5.464,47;16%;;PES LV: INTERCALAR POSTE MT ENTRE OS PGs R037724 E R037725 COM ESTRUTURA N1, INSTALAR BANCADA DO TRAFO E INSTALAR TRAFO E ENCABEÇAR REDE NOVA E ENERGIZAR OBRA;UTILIZOU 02 POSTE 9/400 DA OBRA 1112645 CANCELADA;JACOBINA;2025-10-01;1223589;Consolidado;N/A
9102099302;B-1155527;AC-CIND-PR -JOS ESTEVES-NOVO HORIZONTE;CAPIM GROSSO;JOSÉ MIZAEL/ANTONIO;cliente vip 10;EDUARDO;WELLINGTON SOUZA;PLANO 7;GOVERNO;NÃO;22/09/2025;07/10/2025;30/10/2025;;CRIAR;2025-130449;2025-129413;30/10/2025;PENDENTE;;E857523 AO E857524;1;4;;0;;100%;;22/10/25;31/10/25;;;R004439;-11,37705;-40,005485;R$ 60.355,61;R$  9.019,01;0%;R$  -;15%;;;;JACOBINA;2025-10-01;1155527;Consolidado;N/A
9102329708;B-1221433;ER-CIND-FAZ-PATOS 11-RURAL-ITAPEIPU;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;;;2025-130471;;;;;E857531 AO E857532;1;2;;;;100%;;22/10/25;22/10/25;;;B186108;-11,262294;-40,341715;R$ 12.182,15;R$  3.052,66;0%;R$  -;25%;;;;JACOBINA;2025-10-01;1221433;Consolidado;N/A
9102337760;B-1225209;IT-GRUA-CJN-BEGE BAHIA- MARMORE;OUROLÂNDIA;OLISVALDO;CONCLUI DIA 31/10;EDLECIO;ANTONIO MELO;PLANO 7;REPUTACIONAL;;22/09/2025;PENDENTE;;;2025-137993;;;;;;E863310;0;1;;0;;100%;;30/10/25;31/10/25;;;R071377;t;-41,440857;R$ 76.810,95;;0%;R$  (1.853,51);0%;;;;JACOBINA;2025-10-01;1225209;Consolidado;N/A
9102326720;B-1220454;ER-CIND-POV-BARROC O-RURAL CAFELANDIA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;03/10/2025;06/10/2025;;;2025-127484;;;;;E857526 AO E857528;1;3;;;;100%;;11/10/25;11/10/25;;;B984981;-11,080518;-40,542064;R$ 28.697,35;R$  5.539,75;0%;R$  -;19%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B984981 E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1220454;Consolidado;N/A
9102330722;B-1221927;ER-CIND-POV-PONTILHAO 37-PONTILHAO DE CA;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;03/10/2025;06/10/2025;;;2025-124556;;;;;E857534 AO E857535;0;2;;;;100%;;25/10/25;25/10/25;concluida;;E120401;-11,206672;-40,555112;R$ 12.482,12;R$  3.222,44;0%;R$  -;26%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE E120401 E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1221927;Consolidado;N/A
9102330760;B-1223173;UB-CIND-TRV-QUINTINO ALVES-LAGES;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;;;2025-130472;;;;;E857534 AO E857535;0;2;;0;;100%;;24/10/25;25/10/25;;;B890301;-11,054092;-40,779353;R$ 13.121,70;R$  3.385,64;0%;R$  -;26%;;;;JACOBINA;2025-10-01;1223173;Consolidado;N/A
9102130566;B-1165581;ME-COEL-ROD-AL DAS ARVORES-CONTORNOLANDI;SERROLÂNDIA;JOSÉ MIZAEL;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 1;AL/MELHORAMENTO;SIM;18/09/2025;;;;2025-133709;;;;;;E863236 AO E863239;0;4;;;;100%;;27/10/25;25/10/25;;;D304366;-11,3207067;-40,1601236;R$ 837.471,38;;0%;R$  (20.853,31);0%;;;;JACOBINA;2025-10-01;1165581;Consolidado;N/A
9102327385;B-1222000;ER-CIND-POV-CURRAL VELHO-RURAL;MIGUEL CALMON;JOAOZITO;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;;;2025-128195;2025-123754;28/10/2025;APROVADO;;E857560 AO E857561;1;2;;1;;100%;;28/10/25;28/10/25;;;D026654;-11,291222;-40,62602;R$ 15.021,50;R$  3.619,53;361953%;R$  3.619,53;24%;;ABRIR TRAFO D08577 PARA POSSIBILITAR ENCABEÇAMWENTO DE REDE NOVA BT NO PG E673926 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: E673926;;JACOBINA;2025-10-01;1222000;Consolidado;N/A
9102224278;B-1193533;UB-CIND-POV-COMUNIDADE-DE ALAGOINHAS;JACOBINA;José Roberto;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;;;2025-130477;2025-123788;29/10/2025;APROVADO;;E857463;1;2;;0;2;100%;;29/10/25;29/10/25;;;;-11,1809963;-40,5381566;R$ 26.813,91;R$  3.624,46;0%;R$  -;14%;;ABRIR CHAVE J60186 PARA SUBSTITUIR POSTE D026655, LANÇAR REDE BT DO PG B772029 AO D026655 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTOS:  B772029 E D026655.;;JACOBINA;2025-10-01;1193533;Consolidado;N/A
9102337685;B-1223489;ER-CIND-FAZ-CURRAL VELHO-RURAL;MIGUEL CALMON;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;;;2025-128255;;;;;E857562 AO E857564;1;3;;1;;100%;;24/10/25;24/10/25;;;B800661;-11,284316;-40,620029;R$ 20.590,15;R$  4.859,63;485963%;R$  4.859,63;24%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B800661 E ENERGIZAR OBRA.;;JACOBINA;2025-10-01;1223489;Consolidado;N/A
9102327161;B-1219522;UB-CIND-RUA-JOSE M QUEIROZ-J M QUEIROZ;CAPIM GROSSO;;ENERGIZADA;GUSTAVO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;;;;;;;;;;E857525;1;1;;;;100%;;;;01/10/25;PES 116927 / OC 1029;E408091;-11,388637;-40,007504;R$ 10.555,49;;0%;R$  -;0%;;R003838;;JACOBINA;2025-10-01;1219522;Consolidado;N/A
9102333115;B-1219533;UB-CIND-RUA-JOSE SANTANA 211-CONTORNO SA;CAPIM GROSSO;;ENERGIZADA;GUSTAVO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;;;;;;;;;;E839054;1;1;;;;100%;;;;01/10/25;PES 116949 / OC 1522;B725967;-11,389959;-40,01713;R$ 9.267,04;;0%;R$  -;0%;;;;JACOBINA;2025-10-01;1219533;Consolidado;N/A
9102323164;B-1219845;UB-CIND-RUA-SAO PEDRO-NOVO OESTE;CAPIM GROSSO;;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;;;;;;;;;;E838969 AO E838971;1;3;;;;100%;;;;;;B925078;-11,37777;-40,021299;R$ 26.595,30;;0%;R$  -;0%;;obra falta fazer um trecho;;JACOBINA;2025-10-01;1219845;Consolidado;N/A
;B-1227403;COEL-ROD-BA130-CAPIM GROSSO-COMPLEMENTO;CAPIM GROSSO;JOSÉ MIZAEL;;EDUARDO;WELLINGTON SOUZA;1.2.1.1.3 - DISTR URBA.SDMT NORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;1227403;Consolidado;N/A
9102130568;B-1174903;AL-COEL-03-CAPIM GROSSO II -CONSTR-RURAL;CAPIM GROSSO;;;EDUARDO;;;;;;;;;;;;;;;;;;;;;;;;31/10/2025;;;;;;;;;;;;;;JACOBINA;2025-10-01;1174903;Consolidado;N/A
9102093081;B-1148379;IS-CIND-AV-SETE SETEMBRO-URBANA;OUROLÂNDIA;OLISVALDO;CONCLUSÃO NO DESLIGAMENTO  30/10;EDLECIO;ANTÔNIO MELO;PLANO 8;TRANSGRESSÃO;SIM;02/09/2025;;24/09/2025;;;;2025-128835;29/10/2025;;;E839080 AO E839082;0;5;4;4;;0%;;22/09/2025;31/10/2025;;;D929742;-10,851471;-41,376750;R$ 61.641,33;R$ 9.099,24;;;;;PES LV. - INTERCALAR DOIS POSTES AT ENTRE OS PG'S R046475 E D929742 COM ESTRUTURA N3-3, E INTERCALAR POSTE AT COM ESTRUTURA N3-3 ENTRE OS PG'S D039296 E O D929742.PES DESL.: ABRIR RELIGADOR  J02517(FAZER CORTE VISIVEL), FECHAR RELIGADOR J04025,  ABRIR TRAFO N80765,  PARA POSSIBILITAR ABERTURA DE PASSAGEM NO PG R046476, INTERCALAR POSTE MT COM ESTRUTURA N3-3 ENTRE OS PG'S R046475 E D929742, ENCABEÇAR REDE MT NOVA E ENERGIZAR OBRA.(ATERRAR OS PG'S D929742 E R046475).;;JACOBINA;2025-10-01;1148379;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-10-01;0000nan;Consolidado;N/A
