CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
GOVERNO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 189.769,75;R$ 47.442,44;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;-9,9975706;-42,4459334;;fev.-26;FALSE;;FALSE;FALSE;1020107/APROVADA;E725932;E725933;JUAZEIRO;2025-03-01;1172946;Consolidado;N/A
QLP;9102098830;1156043;ER-CIND-POV- LOGO VEM 1226-LOGO VEM;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 17.496,10;;12/03/2025;13/03/2025;;PAULO JUNIOR;DIEGO;-9,1226207;-40,916031;;mar.-25;;;;;DA PLANILHA;E619754;E619754;JUAZEIRO;2025-03-01;1156043;Consolidado;N/A
QLP;9102146132;1171777;ER - CIND POV PONTAL 22 -RURAL;JUAZEIRO;;;;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 5.022,75;;;;;;CARLOS EDUARDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1171777;Descartado;Status Excluído (STATUS, STATUS 1)
REPUTACIONAL;9102147611;1171680;UB - CIND RUA MARIA AURORA 58 - URBANO;JUAZEIRO;;;ENTREGA;;CONCLUIDA;0;1;;;;;PLANO 7;100%;R$ 7.133,75;;;22/03/2025;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1171680;Consolidado;N/A
QLP;9102114048;1158653;UB-CIND-RUA-QD M 3-A-S O FRANCISCO;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 28.673,93;;12/03/2025;12/03/2025;;PAULO JUNIOR;DIEGO;-9,155140;-40,962106;;mar.-25;;;;;DA PLANILHA;E619886;E619886;JUAZEIRO;2025-03-01;1158653;Consolidado;N/A
QLP;9102103367;1157956;ER-CIND-POV-MORCEGO-AGROVALE;JUAZEIRO;;;TURMA REALOCADA PARA AL DE TOURÃO;;RETIRADA;0;1;;;;;PLANO 7;100%;R$ 22.412,74;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1157956;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102126554;1160765;ER-CIND-POV-VOLTA DE BAIXO-GENIPAPINHO;CAMPO ALEGRE DE LOURDES;;;MIGRAR;;NÃO INICIADA;1;1;;;;;PLANO 7;100%;R$ 12.311,42;;20/03/2025;20/03/2025;;;DEBORA;-9,635209248;-42,9970517;;mar.-25;;;;;DA PLANILHA;E619922;E619922;JUAZEIRO;2025-03-01;1160765;Consolidado;N/A
RECLAMAÇÃO;9102067805;1144563;RC-CIND-RUA-ALTO DO CONSELHEIRO-CENTRO;UAUÁ;11/03;OK;ENERGIZADA;20/03;CONCLUIDA;0;1;;;1;;PLANO 8;100%;R$ 4.004,37;;20/03/2025;20/03/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,84292565;-39,4890833;;mar.-25;;;;;DA PLANILHA;E619923;E619923;JUAZEIRO;2025-03-01;1144563;Consolidado;N/A
EQUIPAMENTO;9102136937;1170528;IE-RELIGADOR-SBC-09S1-G45489;CASA NOVA;;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 8;100%;R$ 124.894,00;;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;-9,15514;-40,916031;;mar.-25;;;;;DA PLANILHA;E619924;E619924;JUAZEIRO;2025-03-01;1170528;Consolidado;N/A
EQUIPAMENTO;9102136954;1170871;IE-RELIGADOR-CSN-01C3-J06102;CASA NOVA;;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 8;100%;R$ 102.337,61;;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;-9,206043;-41,008986;;mar.-25;;;;;DA PLANILHA;E619925;E619925;JUAZEIRO;2025-03-01;1170871;Consolidado;N/A
