ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
LPT;B-1194276;KIT - FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;17/04/2025;17/04/2025;0,0;;;LARISSA;29/4/2025;29/4/2025;;;;;;;;;R$ 341,27;R$ 341,27;;;Coelba;GABRIEL;HEMORGENES;15/5/2025;Aceita;Junho;;26/5/2025;Sim;39;28;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1194311;MED -  FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;17/04/2025;17/04/2025;0,0;;;LARISSA;;;;;;;;;;;R$ 179,25;R$ 179,25;;;Coelba;GABRIEL;hEMORGENES;15/5/2025;Aceita;Junho;;26/5/2025;Sim;39;28;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1188710;ER-CIND-POV-MANICOBA-RURAL;PIRITIBA;17/04/2025;02/05/2025;15,0;4,0;;ALEXANDRE;9/5/2025;9/5/2025;Conciliado;09/05/2025;Aprovado;09/05/2025;Movimentado;;R$ 1.315,00;R$ 761,37;R$ 7.164,39;R$ 9.240,76;R$ 27.638,97;;Coelba;GABRIEL;JOSÉ MISAEL;15/5/2025;Aceita;Maio;;20/5/2025;Sim;33;13;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1177447;ME-COEL-RUA-MANOEL DANTAS-TANQUE NOVO;MAIRI;26/04/2025;03/05/2025;7,0;4,0;;LARISSA;3/5/2025;3/5/2025;Conciliado;;;;;;;R$ 951,71;R$ 19.786,21;R$ 20.737,92;R$ 75.731,10;;Coelba;GABRIEL;JOSÉ MISAEL;14/6/2025;Aceita;Julho;;17/6/2025;Sim;52;42;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1123135;MP-CCOL-FAZ.MELANCIAS-RURAL;OUROLÂNDIA;29/04/2025;07/05/2025;8,0;23,0;3;LARISSA;7/5/2025;7/5/2025;Conciliado;;;;;;;R$ 4.377,86;R$ 40.268,82;R$ 44.646,68;R$ 199.416,78;;Coelba;GABRIEL;ELIEZER;15/5/2025;Aceita;Maio;;22/5/2025;Sim;23;8;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1090820;MP-CCOL-POV. RODOLEIRO-RURAL;UMBURANAS;30/04/2025;12/05/2025;12,0;55,0;5;LARISSA;16/5/2025;16/5/2025;Conciliado;;;;;;R$ 4.276,81;R$ 4.948,89;R$ 62.655,32;R$ 71.881,02;R$ 400.765,46;APTA PARA UNITIZAÇÃO;Coelba;GABRIEL;JOSÉ MILTON;12/6/2025;Aceita;Julho;;17/6/2025;Nao;48;31;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1090821;KIT POV. RODOLEIRO-RURAL;UMBURANAS;30/04/2025;12/05/2025;12,0;;;LARISSA;16/5/2025;16/5/2025;;;;;;;;;R$ 1.706,38;R$ 1.706,38;;APTA PARA UNITIZAÇÃO;Coelba;;;13/6/2025;Aceita;Julho;;17/6/2025;Sim;48;32;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1090822;MED POV. RODOLEIRO-RURAL;UMBURANAS;30/04/2025;12/05/2025;12,0;;;LARISSA;16/5/2025;16/5/2025;;;;;;;;;R$ 896,27;R$ 896,27;;;Coelba;;;13/6/2025;Aceita;Julho;;17/6/2025;Sim;48;32;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1145752;LD-CIND-POV-TIQUARA-RURAL;CAMPO FORMOSO;01/05/2025;01/05/2025;0,0;5,0;;ALEXANDRE;1/5/2025;1/5/2025;Conciliado;;Aprovado;;Movimentado;;R$ 1.619,98;R$ 951,71;R$ 8.544,62;R$ 11.116,31;R$ 385.598,49;;Coelba;EDILECIO;EUDARIO;15/5/2025;Aceita;Maio;;20/5/2025;Sim;19;14;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1057380;MP-CCOL-SI-RANCHO ALEGRE-PORTO FELIZ-RUR;PIRITIBA;29/04/2025;02/05/2025;3,0;12,0;;ALEXANDRE;8/5/2025;7/5/2025;Conciliado;09/05/2025;Aprovado;08/05/2025;Movimentado;;R$ 3.164,44;R$ 2.284,10;R$ 25.446,06;R$ 30.894,60;R$ 157.957,99;;Coelba;GABRIEL;JOSÉ MISAEL;15/5/2025;Aceita;Maio;;20/5/2025;Sim;21;13;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1113324;MP CIND RUA ALAGADIÇO RURAL;OUROLÂNDIA;06/05/2025;09/05/2025;3,0;35,0;3;LARISSA;12/5/2025;10/5/2025;Conciliado;;;;;;R$ 1.348,79;R$ 6.661,96;R$ 67.197,41;R$ 75.208,16;R$ 240.951,15;;Coelba;GABRIEL;ELIEZER;20/5/2025;Aceita;Junho;;26/5/2025;Sim;20;11;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1127700;KIT CIND RUA ALAGADIÇO RURAL;OUROLÂNDIA;06/05/2025;09/05/2025;3,0;;;LARISSA;12/5/2025;10/5/2025;;;;;;;;;R$ 1.365,11;R$ 1.365,11;;;Coelba;;;20/5/2025;Aceita;Junho;;26/5/2025;Sim;20;11;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1127699;MED CIND RUA ALAGADIÇO RURAL;OUROLÂNDIA;06/05/2025;09/05/2025;3,0;;;LARISSA;12/5/2025;10/5/2025;;;;;;;;;R$ 717,01;R$ 717,01;;;Coelba;;;20/5/2025;Aceita;Junho;;26/5/2025;Sim;20;11;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1146082;MP-CCOL-FZ LAGOA DO FELIPAO-PANORAMA MOD;PIRITIBA;10/05/2025;14/05/2025;4,0;37,0;7;LARISSA;15/5/2025;15/5/2025;Conciliado;;;;;;R$ 3.657,03;R$ 7.042,64;R$ 60.217,71;R$ 70.917,38;R$ 269.068,47;;Coelba;GABRIEL;JOSÉ MIZAEL;29/5/2025;Aceita;Junho;;5/6/2025;Sim;26;15;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1206449;KIT FZ LAGOA DO FELIPAO-PANORAMA MOD;PIRITIBA;10/05/2025;14/05/2025;4,0;;;LARISSA;15/5/2025;15/5/2025;;;;;;;;;R$ 1.023,83;R$ 1.023,83;;APTA PARA UNITIZAÇÃO;Coelba;;;29/5/2025;Aceita;Junho;;5/6/2025;Sim;26;15;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1206450;MED FZ LAGOA DO FELIPAO-PANORAMA MOD;PIRITIBA;10/05/2025;14/05/2025;4,0;;;LARISSA;15/5/2025;15/5/2025;;;;;;;;;R$ 537,76;R$ 537,76;;;Coelba;;;29/5/2025;Aceita;Junho;;5/6/2025;Sim;26;15;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1098586;RR-CIND-FAZ-GAMELEIRA-RURAL;MUNDO NOVO;12/05/2025;14/05/2025;2,0;12,0;1;ALEXANDRE;15/5/2025;15/5/2025;Conciliado;16/05/2025;Aprovado;14/05/2025;Movimentado;16/05/2025;R$ 3.438,60;R$ 2.284,10;R$ 18.611,26;R$ 24.333,96;R$ 80.805,24;;Coelba;GABRIEL;JOÃOZITO;22/5/2025;Aceita;Junho;;06/06/2025;Sim;25;8;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1204258;KIT CIND-FAZ-GAMELEIRA-RURAL;MUNDO NOVO;12/05/2025;14/05/2025;2,0;;;ALEXANDRE;15/5/2025;15/5/2025;;;;;;;;;R$ 124,86;R$ 124,86;;;Coelba;;;22/5/2025;Aceita;Junho;;06/06/2025;Sim;25;8;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1204427;MED CIND-FAZ-GAMELEIRA-RURAL;MUNDO NOVO;12/05/2025;14/05/2025;2,0;;;ALEXANDRE;15/5/2025;15/5/2025;;;;;;;;;;R$ 179,25;;;Coelba;;;22/5/2025;Aceita;Junho;;06/06/2025;Sim;25;8;JACOBINA;;;;;;;;;;;;;;;;;;;;
