PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1209962;ER-CIND-RUA-ANTONIO JOSE FERNANDES-CENTR;CANSANÇÃO;ANAILTON;2;0;Energizada;Realizado;BT;;;135195 BT;;;4;200%;2;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 39.039,00;11/11/2025;GABRIEL;;17/11/2025;22/11/2025;10/11/2025;Sim;TRUE;TRUE;;;Q098328;-10,6736886, -39,4991437;E903287 – E903290;https://drive.google.com/file/d/1QneDf6FexXq8VWBZ-fYTUNZcGm2r_7WL/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1209962;Consolidado;N/A
B-1228308;ER-CERB-FAZ-NOVA-RURAL;ITIÚBA;MARCELO;1;0;Energizada;;DESL;Saque de material dia 18/11;;;19/11/2025;146092 (VIP);2;200%;1;100,0%;;1;PLANO 7;GOVERNO;100%;nov./1;R$ 29.161,67;19/11/2025;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;FALSE;FALSE;D293170;-10,9339093, -39,7997546;E903372 – E903372;https://drive.google.com/file/d/1lVLzKnBjAETsJBNOkmEnzMPk1O96-NN0/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1228308;Consolidado;N/A
B-1169767;AC-CIND-POV-PICOS-RURAL;ITIÚBA;JEFFERSON;1;0;Energizada;;DESL + LV;Saque de material dia 19/11;;LV 140092;20/11/2025;142297;2;200%;1;100,0%;precisa da KLC;0;PLANO 7;QLP;100%;nov./1;R$ 42.270,11;20/11/2025;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;;;Q068227;-10.6676535, -39.8742346;E903311 – E903311;https://drive.google.com/file/d/1s6Y_NG2c1ZskXRziY0mgC8_d0ZGxAqGv/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1169767;Consolidado;N/A
B-1180143;ER-CIND-POV-ANTAS I-RURAL;JAGUARARI;WAGNER;1;1;Energizada;;LV+BT;;N1; BT 139665 LV 145196 ;;143324;1;100%;;0,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 6.538,80;24/11/2025;JOAO;;17/11/2025;22/11/2025;11/11/2025;Sim;TRUE;TRUE;;;D408442;-10.3027111, -40.1076727;E903315 – E903320;https://drive.google.com/file/d/1nqv6xxpqNtcZa38Vfug2LPqRfEo9SjEx/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1180143;Consolidado;N/A
B-1060677;ER-CIND-POV-CACHOEIRA-ANDORINHA;ANDORINHAS;;1;0;Paralisada;;BT;;;135147 BT;;;1;100%;;0,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 2.393,07;;;;;;;;;;;;B015669;-10.357579, -39.810062;E903440;https://drive.google.com/file/d/14K_CsaAf8cIUPhvhZXSIKHk-kAftU7ky/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1060677;Consolidado;N/A
B-1169729;ER-CIND-FAZ-S O GONCALO-RURAL;ANDORINHAS;;2;0;Paralisada;;LV+BT;;N1;BT 135168 LV-149168;;;2;100%;;0,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 18.492,73;;;;;;;;;;;;D388057;-10.2704878, -39.9203461;E903436 - E903437;https://drive.google.com/file/d/1oIgx3k1Wtpgz0d2G1-w8L-bdnb_Zs5wh/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1169729;Consolidado;N/A
B-1190993;ER-CIND-POV-LAGEDOS-RURAL;ANDORINHAS;;2;0;Paralisada;;BT;;;135152 BT;;;2;100%;;0,0%;;1;PLANO 7;RECLAMAÇÃO;100%;nov./1;R$ 9.333,97;;;;;;;;;;;;D014317;-10.169574, -39.912487;E903438 - E903439;https://drive.google.com/file/d/1hlnMcIHlErXyM-Krn5a6I8wMRGM4tV3s/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1190993;Consolidado;N/A
B-1067126;IS-COEL-PR -COMERCIO-ANDORINHA;ANDORINHAS;;27;0;Paralisada;;DESL;;;;;;18;66,66666667%;;0,0%;;1;PLANO 8;JUDICIAL;50%;nov./1;R$ 335.050,76;;;;;;;;;;;;Q099019;-10.3445425, -39.8323744;E903081 – E903107;;;;SENHOR DO BONFIM;2025-11-01;1067126;Consolidado;N/A
B-1156651;ER-CIND-POV-BREJO CAATINGA-RURAL;CAMPO FORMOSO;ISRAEL;1;0;Energizada;Pendente;DESLIG;"MATERIAL PENDENTE 
TRAFO E CABO POTE";N1 C/ TRF;124773 (LV) 124652 (EN);27/11/2025;145700;1;100%;1;100,0%;;0;PLANO 7;;100%;out./1;R$ 27.197,79;27/11/2025;JOAO;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;D931025;-10,4265503, -40,8651062;E875185 – E875185;https://drive.google.com/file/d/1MGM9EwydAcMCbDyjyaG2pf9mkqQncAn8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1156651;Consolidado;N/A
B-1199686;ER-CIND-FAZ-UMBURANA-RURAL;QUEIMADAS;MARCELO;1;0;Energizada;Pendente;LV+BT;Programar LV;N1;134669 BT / 134670 LV 148784 LV;;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 6.848,69;21/11/2025;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D030008;-10.838989, -39.6406917;E903366 – E903366;https://drive.google.com/file/d/1iaxNatJpHria08Y7-M5MHfep47iukdT2/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1199686;Consolidado;N/A
B-1155593;ER-CIND-FAZ-JUAZEIRINHO-RURAL;CANSANÇÃO;JEFFERSON;1;0;Energizada;Realizado;LV + ENERGZ;;N1 C/ TRF;125048 (LV)   125848 (EN);;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 20.229,80;15/11/2025;GABRIEL;;03/10/2025;15/11/2025;;;TRUE;TRUE;;;D265962;-10,6850113, -39,5549432;E875202 – E875202;https://drive.google.com/file/d/1-m2QkNBzfsq5ArEr7_pW5dDvuxxmXmMd/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1155593;Consolidado;N/A
B-1180616;ER-CIND-FAZ- PILOES-RURAL;CAMPO FORMOSO;EDVALDO;1;0;Energizada;Pendente;LV+BT;;N1;137208 BT 140987 LV;;;1;100%;1;100,0%;;0;PLANO 7;QLP;100%;nov./1;R$ 4.772,12;;JOAO;;05/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B929837;-10.4535513, -40.3308433;E903369 – E903369;https://drive.google.com/file/d/1jyEKZgJ4-ooj7Rmhcnzz4arxPdaS9oD2/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1180616;Consolidado;N/A
B-1158161;ER-CIND-POV-LAGOA DOS ALTOS-LAGOA DOS AL;CANSANÇÃO;ANAILTON;1;0;Energizada;Realizado;LV + ENERGZ;;N1 C/ TRF;125011 (LV) 145474 (EN);;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 15.000,26;13/11/2025;GABRIEL;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;D158998;-10,6306033, -39,457738;E875201 – E875201;https://drive.google.com/file/d/1nBqmO9QjEOqxkoPP2WFLlIv3r67uImZP/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1158161;Consolidado;N/A
B-1171389;ER-CIND-FAZ-SANTA MARIA 2-RURAL;QUEIMADAS;MARCELO;1;0;Energizada;Pendente;LV + ENERGZ;;N1;LV 134716                 146639 EN;;;1;100%;1;100,0%;;2;PLANO 14;QLP;100%;nov./1;R$ 21.151,54;14/11/2025;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;E088017;-10.972847, -39.6469582;E903367 – E903367;https://drive.google.com/file/d/1pOnvJrLKS_RAtkUhAbLzq0UKjn612N0c/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1171389;Consolidado;N/A
B-1168806;ER-CIND-POV-PATOS 3-URBANO;CAMPO FORMOSO;ISRAEL;1;0;Energizada;Pendente;LV + ENERGZ;;N1 C/ TRF;124783 (LV) 145861 (EN);;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 24.982,67;14/11/2025;JOAO;;27/10/2025;15/11/2025;;;TRUE;TRUE;;;Q024911;-10,1845895, -40,8966678;E875184 – E875184;https://drive.google.com/file/d/1FUMDq-bUdK8-BLdnwQeSZEVh0g0Cgm-w/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1168806;Consolidado;N/A
B-1149566;ER-CIND-POV-LAGE-RURAL;MONTE SANTO;OSMAR;1;0;Energizada;;LV + ENERGZ;;N1 C/ TRF;(EN) 127208 LV- 148290;;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 21.269,92;19/11/2025;GABRIEL;;20/10/2025;22/11/2025;;;TRUE;TRUE;;;A249948;-10,4666449, -39,2706592;E875152 – E875153;https://drive.google.com/file/d/16vhzvlqzctwCDMbRAV9FK_aQisV0zVJb/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1149566;Consolidado;N/A
B-1148616;ER-CIND-FAZ-PEDRA-RURAL;MONTE SANTO;OSMAR;1;0;Energizada;;LV + ENERGZ;;N1 C/ TRF;(EN) 127095 LV- 148436;;;1;100%;;0,0%;Detonar ou KLC;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 21.323,67;20/11/2025;GABRIEL;;27/10/2025;22/11/2025;;;TRUE;TRUE;;;D394972;-10,4752186, -39,3080912;E875154 – E875154;https://drive.google.com/file/d/1TqaAjnC2mF93Ls2xR-UZjEIBVRJEP98O/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1148616;Consolidado;N/A
B-1195746;ER-CCOL-POV-PONTA BAIXA 1228-A-RURAL;ITIÚBA;JEFFERSON;1;0;Energizada;;LV + ENERGZ;;TRAFO;139340 EN 140637 LV;;;6;600%;0;0,0%;JA LOCADO KLC;0;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 23.110,29;;GABRIEL;;17/11/2025;22/11/2025;08/11/2025;Sim;TRUE;TRUE;;;Q069803;-10.5225184, -39.8935192;E903310 – E903310;https://drive.google.com/file/d/1golgVNuVF1bgKr1Fhr5Lg4dkgWOaFZfH/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1195746;Consolidado;N/A
B- 1210023;ER-CIND-FAZ- POCO DANTAS 856-PEDRA VERME;MONTE SANTO;JOSE;1;0;Energizada;;LV+ENERGZ;;N1/TRAFO;LV 140042     144134 EN;;;0;0%;;0,0%;KLC ou detonação;0;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 14.287,18;;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D239683;-10.408354, -39.310426;E903361 – E903362;https://drive.google.com/file/d/1BnDs2D5aOmlbplWfox5ZEnzS3bIKwHj4/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210023;Consolidado;N/A
B-1198090;ER-CIND-FAZ-ROCHA-RURAL;CANSANÇÃO;JEFFERSON;1;0;Energizada;Realizado;BT;;;143805 BT;;;0;0%;1;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 4.904,50;10/11/2025;GABRIEL;;03/11/2025;15/11/2025;08/11/2025;Sim;TRUE;TRUE;;;B087388;-10.6520489, -39.7119756;0;https://drive.google.com/file/d/1lm4Or16slzL-KVk6huWTAwsxxLHwuSYJ/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198090;Consolidado;N/A
B-1215542;ER-CIND-POV-CERCADINHO-RURAL;ITIÚBA;GESONI;1;0;Energizada;;BT;;;139257 BT;;;0;0%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 2.071,52;10/11/2025;JOAO;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D069799;-10.7545483, -39.8827815;E903370 – E903370;https://drive.google.com/file/d/1KrrTsGQGiSKJ1HsCMeIF_IKqnwXFg_Ov/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1215542;Consolidado;N/A
B-1179876;UB-CIND-RUA-NICANOR AMABAHY-CENTRO;NORDESTINA;MARCELO;1;0;Energizada;;BT;Pendente cabo 3x35;;135355 BT;;;1;100%;1;100,0%;;2;PLANO 7;QLP;100%;nov./1;R$ 7.858,69;21/11/2025;GABRIEL;;17/11/2025;22/11/2025;12/11/2025;Sim;TRUE;TRUE;;;D920911;-10.8250099, -39.4247838;E903373 – E903373;https://drive.google.com/file/d/15f5sQa4njChDcBmYL4H6Ssl0gZzG5Rbz/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1179876;Consolidado;N/A
B-1198739;UB-CIND-RUA-DEMOSTENES BARRETO-CENTRO;MONTE SANTO;JOSE;1;0;Energizada;;BT;Pendente cabo 3x35;;135527 BT;;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 6.302,10;18/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D660005;-10.4330598, -39.325867;E903374 – E903374;https://drive.google.com/file/d/18o9rTBHvAZom8DsetWZdEIE9sazpR8KU/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198739;Consolidado;N/A
B-1199287;ER-CIND-POV-CURRAL VELHO-RUR-MONTE SANTO;MONTE SANTO;JOSE;1;0;Energizada;;BT;Previsão de conclusão para 18/11;;135528 BT;;;1;100%;1;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 5.681,17;18/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D685810;-10.4728459, -39.395173;E903375 – E903375;https://drive.google.com/file/d/1avv9wHkzzo7iGL2q1XA8BFv3Vj8jZ3mT/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1199287;Consolidado;N/A
B-1198444;ER-CIND-POV-LAGOA DO PORCO-RURAL;CAMPO FORMOSO;ISRAEL;1;0;Energizada;;BT;;;137117 BT;;;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 5.489,19;21/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;FALSE;TRUE;;;Q063930;-10.3339535, -40.6177873;E903368 – E903368;https://drive.google.com/file/d/1EBngDEluOD-6drViWeqyPV8ouPHG8G3u/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198444;Consolidado;N/A
B-1163666;ER-CIND-RUA-BELA VISTA-POCOS;CAMPO FORMOSO;ISRAEL;1;0;Energizada;;BT;;;137054 BT;;;1;100%;1;100,0%;;1;PLANO 7;AIC AUDITORIA;100%;nov./1;R$ 6.785,27;;JOAO;;17/11/2025;22/11/2025;12/11/2025;Sim;TRUE;TRUE;;;Q061925;-10.5016733, -40.402421;E903403;https://drive.google.com/file/d/1BY58kxqjeoAeWWzyDVEOxdTMPwljHnvj/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1163666;Consolidado;N/A
B-1195701;ER-CIND-RUA-PONTILHAO-CENTRO - PICOS;ITIÚBA;JEFFERSON;1;0;Energizada;;BT;;;138299 BT;;;2;200%;;0,0%;precisa da KLC;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 8.387,51;27/11/2025;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;;;Q069888;-10.6279916, -39.908117;E903371 – E903371;https://drive.google.com/file/d/12_rcIvHiuoSRinSamTc5hTKwKKdJya84/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1195701;Consolidado;N/A
B-1148717;ER-CIND-POV-LAGINHA-RURAL;QUEIMADAS;MARCELO;1;0;Energizada;Pendente;LV + ENERGZ;Programar LV;N1 C/ TRF;124420 (EN) LV- 148948;;123296;1;100%;1;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 18.416,88;21/11/2025;GABRIEL;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;D565953;-11,0102411, -39,673026;E875241 – E875241;https://drive.google.com/file/d/1cYkIJgaRRFhfKUBTqgH_ueFQWVUTJ6la/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1148717;Consolidado;N/A
B-1198495;ER-CIND-POV-CAPOEIRA-RURAL;CANSANÇÃO;ANAILTON;1;0;Energizada;Realizado;BT;;;135180 BT;;;2;200%;1;100,0%;;0;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 9.198,18;11/11/2025;GABRIEL;;17/11/2025;22/11/2025;10/11/2025;Sim;TRUE;TRUE;;;Q099631;-10.674412, -39.460124;E903334 – E903335;https://drive.google.com/file/d/1B4s0IgIhKuwh5Mn2y209ESSlswTRtHiH/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198495;Consolidado;N/A
B-1217384;ER-CIND-FAZ-ANJO-RURAL;SENHOR DO BONFIM;REGINALDO;0;0;Energizada;;LV;;N1/TRAFO;LV 142555;;;0;100%;;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 22.518,58;22/11/2025;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;Q043850;-10.3773752, -40.1006744;E875681 – E875681;https://drive.google.com/file/d/11jkdVOTBvtIuu3yR3PmY3yqlnV75rmM-/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1217384;Consolidado;N/A
B-1217245;ER-CIND-POV-S O MIGUEL-RURAL;JAGUARARI;ALDAIR;0;0;Energizada;;LV;FALTA TRAFO;;LV 145281;27/11/2025;145071;0;100%;;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 12.944,06;;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;B494623;-9.9784184, -40.1474094;0;https://drive.google.com/file/d/1h4-vyBO3IbiM3JMBRWiWuOcsk5EAhm1S/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1217245;Consolidado;N/A
B-1194404;AC-CIND-POV-VARZEA COMPRIDA-RURAL;ITIÚBA;MARCELO;0;0;Energizada;;DESL;Saque dia 17/11, material não sacado ;;;29/11/2025;146973 (PRECISA DE ACORDO);0;100%;;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 33.946,55;;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;FALSE;;Q055596;-10.9129082, -39.8416527;0;https://drive.google.com/file/d/1PnH_-O-pGUMPUODFhoTf_0dU2rGsb5T7/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1194404;Consolidado;N/A
B-1185448;ER-CIND-POV-TIQUARA -RURAL;CAMPO FORMOSO;EDVALDO;0;0;Energizada;;ENERG;;N1/TRAFO;137059 BT 142632 LV;;;1;100%;;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 21.221,45;26/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;FALSE;TRUE;;;Q063543;-10.4723862, -40.5427325;E903269 – E903269;https://drive.google.com/file/d/1uR97eSJfizjlwACFSm6L-7a13iZFtQga/view?usp=drive_link;-10.8421072;-39.308;SENHOR DO BONFIM;2025-11-01;1185448;Consolidado;N/A
B-1157179;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;;63;22;Paralisada;;;;;;;;3;4,761904762%;;0,0%;;0;PLANO 7;QLP;0%;nov./1;R$ 1.706.478,98;;;;;;;;;;;;;;E903189 – E903189;;;;SENHOR DO BONFIM;2025-11-01;1157179;Consolidado;N/A
B-1172674;ER-CIND-FAZ-PACIENCIA-PACIENCIA;MONTE SANTO;OSMAR;0;0;Energizada;;LV+BT;"Executar no mesmo dia da obra ""POV-FLORES""";N1;BT 127161 LV-148683;;;1;100%;;100,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 7.978,71;22/11/2025;GABRIEL;;17/11/2025;22/11/2025;17/11/2025;Solicitado;;TRUE;;;D108759;-10.1559336, -39.5542258;E903365 – E903365;https://drive.google.com/file/d/1OS33s5jhwTm-CuzXvxvCk4YqpO6OHkdh/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1172674;Consolidado;N/A
B-1157055;IT-GRUA-RO BA 220-RURAL;SENHOR DO BONFIM;;86;0;Paralisada;;;;;;;;0;0%;;0,0%;;1;PLANO 7;GRUPO A;0%;nov./1;R$ 1.679.249,18;;;;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-11-01;1157055;Consolidado;N/A
B-1198094;ER-CIND-FAZ-PAU FERRO-PAU FERRO;QUEIMADAS;MARCELO;0;0;Energizada;;BT;;;134700 BT;;;0;100%;0;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 2.607,40;11/11/2025;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D367990;-10.894458, -39.556127;0;https://drive.google.com/file/d/17i8YK8vKscU-vpwjKOERRhp8wPSiz4oC/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198094;Consolidado;N/A
B-1198067;ER-CIND-POV-PAU DE COLHER-PAU DE COLHER;QUEIMADAS;MARCELO;0;0;Energizada;;BT;;;134692 BT;;;0;100%;0;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 1.604,11;11/11/2025;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D159343;-10.78111, -39.625564;0;https://drive.google.com/file/d/1GM9gqZ9pkzHsSkqa8cLB1GFoyzPtGjTA/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1198067;Consolidado;N/A
