PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1199167;ER-CIND-FAZ-CANAVIEIRAS 2-RURAL;CAMPO FORMOSO;ISRAEL;2;0;Energizada;;BT;;;137135 BT;;;2;100%;2;100,0%;PODA;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 11.280,94;;JOAO;;05/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;Q060232;-10.4728827, -40.2769164;E903342 – E903343;https://drive.google.com/file/d/1R-EKIzkeaJoQGUrUOXOglNlH6m_dQ55s/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1199167;Consolidado;N/A
B-1050851;ER-CIND-POV-GAMELEIRA 182-RURAL;JAGUARARI;WAGNER;2;0;Energizada;;BT;;;139576 BT;;;2;100%;;0,0%;;3;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 4.793,81;;JOAO;;17/11/2025;22/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B658316;-10.2120357, -40.1143323;E903408 - E903409;https://drive.google.com/file/d/1li_jowAelqEDpYOfMQLxFPDL1iNpuw-j/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1050851;Consolidado;N/A
B-1192185;ER-CIND-RUA-BELA VISTA-RURAL;CAMPO FORMOSO;ISRAEL;2;0;Energizada;;BT;;;137236 BT;;;2;100%;2;100,0%;;1;PLANO 14;REPUTACIONAL;100%;nov./1;R$ 10.438,48;12/11/2025;JOAO;;17/11/2025;22/11/2025;12/11/2025;Sim;TRUE;TRUE;;;B339226;-10.5033005, -40.3975959;E903397 - E903398;https://drive.google.com/file/d/1FstJbyOByRQmt6g6eAB9Pl33fN8isEmA/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1192185;Consolidado;N/A
B-1211890;ER-CIND-POV-LAGOA DA PEDRA-RURAL;CAMPO FORMOSO;ISRAEL;2;0;Energizada;;BT;;;145558 BT;;;2;100%;2;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 11.681,17;;JOAO;;17/11/2025;22/11/2025;12/11/2025;Sim;TRUE;TRUE;;;D065096;-10.5045089, -40.4218939;E903399 - E903400;https://drive.google.com/file/d/1r6KwI9zhbgesoNSrYOCELjrUYLZqIOn7/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1211890;Consolidado;N/A
B-1214847;UB-CIND-CJN-VI JOEL 130-CENTRO;CAMPO FORMOSO;ISRAEL;2;0;Energizada;;BT;;;137297 BT;;;4;200%;2;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 12.965,31;20/11/2025;JOAO;;17/11/2025;22/11/2025;12/11/2025;Sim;TRUE;TRUE;;;Q062125;-10.4688438, -40.4377683;E903401 - E903402;https://drive.google.com/file/d/138Okir1ABDwe_8CRCnwZf9QrcVVWg_Oa/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1214847;Consolidado;N/A
B-1216176;UB-CIND-RUA-ALTO DO CAMPO-RURAL;ITIÚBA;JEFFERSON;2;2;Energizada;;BT;Depende do cabo 3x35;;139277 BT;;;0;0%;2;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 6.908,51;18/11/2025;GABRIEL;;24/11/2025;29/11/2025;12/11/2025;Sim;TRUE;TRUE;;;Q066944;-10.6899575, -39.859984;E903355 – E903356;https://drive.google.com/file/d/1_VNa00o6E-cEuEdjun_Q2zJaKPASP8GX/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216176;Consolidado;N/A
B-1205388;ER-CIND-POV-CACO DE TELHA 78-RURAL;SENHOR DO BONFIM;REGINALDO;4;0;Paralisada;;DESL + LV;;2 N3-3;134636 EN 142573 LV;28/11/2025;146253 ANEXA PEX;0;0%;;0,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 70.752,48;;;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;Q043744;-10,3918417, -40,1592126;E902884 – E902887;https://drive.google.com/file/d/194hw5DEM44jD5q57OkXkTNNPBH6NcMjW/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1205388;Consolidado;N/A
B-1190860;ER-CIND-FAZ-BARRA-CACIMBAS;ITIÚBA;JEFFERSON;2;2;Energizada;;BT;Previsão de conclusão 18/11;;BT 138261  ;;;2;100%;2;100,0%;precisa da KLC;1;PLANO 7;QLP;100%;nov./1;R$ 14.147,55;18/11/2025;GABRIEL;;24/11/2025;29/11/2025;17/11/2025;Solicitado;;TRUE;;;D395165;-10.7410177, -39.7087084;E903351 – E903352;https://drive.google.com/file/d/1FqvcbOI43a7H2dVnKn3Qc9gT1TGB3hJF/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1190860;Consolidado;N/A
B-1210106;ER-CIND-POV-CAMPO ALEGRE-CAMPO ALEGRE;CAMPO FORMOSO;EDVALDO;2;0;Energizada;;BT;;;137251 BT;;;2;100%;;0,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 11.399,83;20/11/2025;JOAO;;17/11/2025;22/11/2025;19/11/2025;;;TRUE;;;E141329;-10.389477, -40.41142;E903338 – E903339;https://drive.google.com/file/d/1iqUQJ6ZRaj5x7y8Orc81Frcfp1F3xWez/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1210106;Consolidado;N/A
B-1190192;ER-CIND-RUA-APOLONIO-CJATOBA;PINDOBAÇU;JOILSON;2;0;Energizada;;BT;;;135326 BT;;;2;100%;2;100,0%;;2;PLANO 7;QLP;100%;nov./1;R$ 9.324,71;05/11/2025;JOAO;;;;;;TRUE;TRUE;TRUE;;;;E903363 – E903364;https://drive.google.com/file/d/1fGGp9MUbj_lrxybf54aXyDJhajQo6-G9/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1190192;Consolidado;N/A
