PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;CONCRETO;STATUS 1;PST EXEC;CAVR;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CLIENT.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1213741;RR-SEIN-RUA-PINDOBACU-CENTRO;PINDOBAÇU;JOSE ROBERTO;33;35;;;;FALTA 1102 3x35 2230076;LV + BT + ENERGZ;;;LV-5674;;;;106%;0;PLANO 7;GOVERNO;100%;jan./1;R$ 239.084,55;;;;13/01/2026;31/01/2026;13/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q036262;-10,6216199, -40,2905741;https://drive.google.com/file/d/1OUrliukqqrj_sKOeh_P-TgwvPeYk6S3J/view;E936417 – E936448;;;SENHOR DO BONFIM;2026-01-01;1213741;Consolidado;N/A
B-1213480;IP-SEIN-RUA-ITAPICURU-RURAL;PINDOBAÇU;REGINALDO;39;42;;34;;FALTA CABO 1876 3X35 2230076;LV + BT + ENERGZ;;;2813 EN LV-6517;;;;108%;0;PLANO 7;GOVERNO;80%;jan./1;R$ 314.397,05;;;;05/01/2026;19/01/2026;08/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q056995;-10,7993508, -40,380492;https://drive.google.com/file/d/1_rT7MYpbbS2UoT4wakh3zwp-KwuKqbLt/view?usp=drive_link;E936521 – E936558;;;SENHOR DO BONFIM;2026-01-01;1213480;Consolidado;N/A
B-1221931;ER-CIND-RUA-APOLONIO-JATOBA;PINDOBAÇU;JOSE ROBERTO;4;4;Energizada;;;ENERGIZADA;BT;;;5224 BT;;;;100%;1;PLANO 7;AGIL;100%;jan./1;R$ 22.354,91;;;;19/01/2026;24/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;Q063899;-10,739757, -40,4714933;;;;;SENHOR DO BONFIM;2026-01-01;1221931;Consolidado;N/A
B-1155068;EQ-GRUA-ROD BR 407 - RURAL;PONTO NOVO;;0;0;Paralisada;0;;;RELIG;;;;;;;100%;0;PLANO 7;MMGD;100%;jan./1;R$ 88.538,44;;;;;;;;;;FALSE;FALSE;;;DEPENDE DE 9102069530;;https://drive.google.com/file/d/1WEPBbYCotEgnGitlXdoiOTy27kAKT03S/view;;;;SENHOR DO BONFIM;2026-01-01;1155068;Consolidado;N/A
B-1187294;EQ-COEL-ROD-CJN - SIX ENERGY-RURAL;PONTO NOVO;;0;0;Paralisada;0;;;RELIG;;;;;;;100%;0;PLANO 7;MMGD;100%;jan./1;R$ 97.291,85;;;;;;;;;;FALSE;FALSE;;;DEPENDE DE OUTRO PROJETO;;https://drive.google.com/file/d/1lwe87KiV8_qlu3uowUl1wlTyc2B6XGUZ/view;;;;SENHOR DO BONFIM;2026-01-01;1187294;Consolidado;N/A
B-1223728;ER-CIND-TRV-SENHOR DO BONFIM-CENTRO-TIJU;SENHOR DO BONFIM;MARCELO;1;1;Energizada;;;ENERGIZADA;BT;;;5284 BT;;;;100%;1;PLANO 7;AGIL;100%;jan./1;R$ 6.502,60;;;;20/01/2026;23/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;D408504;-10,6208025, -40,1372741;;;;;SENHOR DO BONFIM;2026-01-01;1223728;Consolidado;N/A
B-1185253;EQ GRUA-FAZ-RIACHO DOS NEGROS-RURAL;QUEIMADAS;;0;0;Paralisada;0;;;RELIG;;;;;;;100%;0;PLANO 7;MMGD;100%;jan./1;R$ 133.144,47;;;;;;;;;;FALSE;FALSE;;;DEPENDE DE OUTRO PROJETO;;https://drive.google.com/file/d/1TcwDfsEJAKA-6uXkkk6A3HSB6bISnUkV/view;;;;SENHOR DO BONFIM;2026-01-01;1185253;Consolidado;N/A
B-1223889;ER-CIND-POV-LAGOA DAS MO AS- PONTO NOVO;QUEIMADAS;ANAILTON;33;32;;29;;FALTA TRAFO 2-15 211308, FALTA ELO 0,5H 536778,  2322006 SUSPENSAO, 3430547 ALÇA 25, 3431611 LAÇO 25;LV + ENERGZ;;;2886 EN LV-5584;;;;97%;2;PLANO 7;QLP;100%;jan./1;R$ 301.753,13;;;;12/01/2026;24/01/2026;12/01/2026;;TRUE;TRUE;FALSE;FALSE;;;D918621;-10,9948355, -39,5379872;https://drive.google.com/file/d/1QagrSAAiJWunSk947lAJ6e3ElyJ3AtEn/view?usp=drive_link;E936384 – E936416;;;SENHOR DO BONFIM;2026-01-01;1223889;Consolidado;N/A
B-1200575;ER-CIND-TRV-SAO FRANCISCO -RURAL;CAMPO FORMOSO;OSMAR;2;0;Energizada;;;ENERGIZADA;DESL;;;;;27/01/2026;4727;0%;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 9.937,27;;;;15/12/2025;20/12/2025;09/12/2025;;TRUE;TRUE;TRUE;TRUE;;;D130228;-10,3195859, -39,1927885;https://drive.google.com/file/d/10HJ5boLCn412A8pZ4lcGQ_dCB0NAwAvA/view?usp=drive_link;E903481 – E903482;;;SENHOR DO BONFIM;2026-01-01;1200575;Consolidado;N/A
B-1214280;ER-CIND-POV-ALECRIM PEDRAS ALTAS-RURAL;QUEIMADAS;MARCELO;31;30;;;;;LV + ENERGZ;;;LV-1169          24226 EN;;;;97%;1;PLANO 7;QLP;100%;jan./1;R$ 211.050,93;;;;19/01/2025;31/01/2026;05/01/2026;;TRUE;TRUE;FALSE;FALSE;;;D085909;-11,1013139, -39,8757613;https://drive.google.com/file/d/1NK9tsMR-2pkOtRS7SOoKtYo5jmg8xiYa/view;E936353 – E936383;;;SENHOR DO BONFIM;2026-01-01;1214280;Consolidado;N/A
