NOTA;DATA DO CONTATO;DATA DO RETORNO;MUNICIPIO;RESPONSAVEL;STATUS;CONFORMIDADE
4506262228;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506263209;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506264014;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506264664;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266558;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506268068;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506268148;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506268671;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269113;2024-09-09;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506246852;2024-09-11;2024-09-11;SENHOR DO BONFIM;DENIZE;Apto;Apto
4506248858;2024-09-11;2024-09-11;SENHOR DO BONFIM;DENIZE;Inapto;Obra
4506249854;2024-09-11;2024-09-11;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506253363;2024-09-10;2024-09-12;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506258275;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260313;2024-09-11;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506262228;2024-09-11;;SENHOR DO BONFIM;JOVANIA;Inapto;Deficiencia tecnica
4506263161;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506263731;2024-09-10;2024-09-11;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506264692;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506265206;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506267059;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506267112;2024-09-11;2024-09-11;SENHOR DO BONFIM;DENIZE;Apto;Apto
4506268552;2024-09-10;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506258467;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506259414;2024-09-11;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506260943;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506266205;2024-09-11;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506266264;2024-09-11;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506266334;2024-09-11;;SENHOR DO BONFIM;AMANDA;Apto;Sem retorno
4506266366;2024-09-11;;SENHOR DO BONFIM;AMANDA;Sem contato;Sem contato
4506266648;2024-09-11;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506266771;2024-09-11;;SENHOR DO BONFIM;AMANDA;Sem contato;Sem contato
4506267604;2024-09-11;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506268671;2024-09-11;2024-09-11;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506269129;2024-09-11;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269615;2024-09-11;2024-09-12;SENHOR DO BONFIM;AMANDA;Inapto;Deficiencia tecnica
4506269645;2024-09-11;;SENHOR DO BONFIM;AMANDA;Sem retorno;Sem contato
4506230063;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506236856;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506241136;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506244819;2024-09-11;;SENHOR DO BONFIM;AMANDA;Sem retorno;Sem retorno
4506248269;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506248909;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Inapto;Irregularidade do Padrao
4506253436;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255959;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506257850;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257907;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257938;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258372;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506258948;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259180;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Inapto;Irregularidade do Padrao
4506259813;2024-09-13;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506259858;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260438;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260931;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506261293;2024-09-12;2024-09-13;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506261394;2024-09-12;2024-09-18;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506262768;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
