PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS 1;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
1198610;ER-CIND-ET-LAD SAO VITOR-RURAL-CASA NOVA;PRIORIDADE PLANO ANEEL;CASA NOVA;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;1;5;;;19/01/2026;20/01/2026;;;NÃO;;-9.157261;-41.023223;Ver no Mapa;09/01/2026;10/1/2026;;12/01/2026;;JUAZEIRO;2026-01-01;Consolidado;N/A
1224493;ER-CIND-SI-ALGODAO-LAGEDO;INSTITUCIONAL;CASA NOVA;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;2;24;;;;30/01/2026;;;NÃO;;-9.12067;-41.164259;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
269848;RR - SÍTIO PAU FERRO;INSTITUCIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;PAULO JUNIOR;;DIEGO ALMEIDA;14.7.3;40%;4;49;;;25/01/2026;23/04/2026;;;NÃO;;-9.081642;-41.084308;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1200696;AC-CIND REG FV. SI BARRA - RURAL;GOVERNO;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;SANTIAGO;PAULO;MARLOS LOPES ;7.1.2.3;25%;5;80;;;19/01/2026;26/02/2026;;;NÃO;;-9.239918;-41.429965;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1146117;MP-CCOL-POV DESTERRO-CAI ARA-RURAL-II;GOVERNO;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;PAULO JUNIOR;;DIEGO ALMEIDA;14.7.1;40%;14;455;;;08/01/2026;26/04/2026;;;NÃO;;-9.239698;-41.78977;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
763601;MP-CCOL-POV CANOINHA-RURAL;REPUTACIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;PAULO JUNIOR;;;14.7.3;65%;25;541;;;04/10/2026;18/03/2026;;;NÃO;;-9.1112573;-41.3759639;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
724125;MP-CCOL-REG PEDRA DO BATISTA-RURAL;REPUTACIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;PAULO JUNIOR;;MARLOS LOPES ;14.7.3;40%;36;715;;;30/01/2026;30/04/2026;;;NÃO;;-9.244758;-41.26074;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
852090;MP-CCOL-FAZ CARAÍBA-RURAL;INSTITUCIONAL;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;;;CARLOS EDUARDO;14.7.3;40%;27;300;;;23/01/2026;17/05/2026;;;NÃO;;-9.130781;-39.697986;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1160620;ER-CIND-POV-MATINHA-RURAL-ARVORE;PRIORIDADE PLANO ANEEL;CURAÇÁ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;;RODRIGUES;EDVALDO;CARLOS EDUARDO;7.1.2.3;100%;2;24;;;06/01/2026;19/01/2026;19/01/2026;;NÃO;;-8.659391;-39.542661;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1210465;ER-CIND-FAZ-LAMINHA-RURAL;AVIFAUNA;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;COMPLETO;;;;CARLOS EDUARDO;14.7.3;40%;3;31;;;31/01/2026;27/02/2026;;;NÃO;;-9.384679;-39.695157;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
982827;RR-CIND-POV-BAIXA DAS QUIXADEIRAS-RURAL;;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;;;;CARLOS EDUARDO;7.1.2.3;25%;1;5;;;29/01/2026;26/02/2026;;;NÃO;;-9.128851;-39.694123;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1235808;UB-CIND-AV-IRMA DULCE 10-URBANA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;IVONALDO;PEDRO LINO;VICTOR BARROS;7.1.2.3;100%;7;1;;;06/01/2026;06/01/2026;;NÃO;NÃO;;-9.448104;-40.507741;Ver no Mapa;05/01/2026;06/01/2026;06/01/2026;SIM;;JUAZEIRO;2026-01-01;Consolidado;N/A
1161591;RR-CIND-FAZ-MANICOBA VELHA-SISTEMA M;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;ESCAVAÇÃO;COMPLETO;;EDIE JONNES;NELSON;DIEGO ALMEIDA;7.1.2.3;100%;1;4;;;06/01/2026;07/01/2026;;NÃO;NÃO;;-9.225329;-40.295462;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1145919;MP CIND POV JUREMA VERMELHA RURAL;RECLAMAÇÃO;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;EDIE JONNES;FABIO;DIEGO ALMEIDA;7.1.2.3;100%;;15;;;06/01/2026;17/01/2026;;SIM;NÃO;;-9.201209;-40.236227;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1206096;ME-COEL-CJN-QD D 20-SAO GERALDO;NOVOS QUESTIONAMENTOS ANEEL;JUAZEIRO;JANEIRO 2026;PROGRAMADA;ESCAVAÇÃO;COMPLETO;;IVONALDO;NELSON;VICTOR BARROS;8.2.1.3;100%;0;2;;;07/01/2026;12/01/2026;;NÃO;NÃO;;-9.4220855;-40.493182;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1171777;ER - CIND POV PONTAL 22 -RURAL;JUDICIAL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;EDIE JONNES;NELSON;CARLOS EDUARDO;14.4.12.1;100%;1;1;;;08/01/2026;08/01/2026;;NÃO;NÃO;;-9.060874;-40.230229;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1211449;AC-CIND-FAZ-MANICOBA-SISTEMA MANICOBA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;IVONALDO;NELSON;DIEGO ALMEIDA;7.1.2.3;100%;1;2;;;08/01/2026;12/01/2026;;NÃO;NÃO;;-9.190403;-40.285133;Ver no Mapa;;10/01/2026;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1229081;ER-CIND-POV-TANQUE NOVO-RURAL;QLA;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;IVONALDO;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;;0;;;10/01/2026;12/01/2026;;NÃO;NÃO;;-9.511133;-39.950607;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1205091;AC-CIND-AV-JORGE KHOURY-VILA SANTA INES;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;;IVONALDO;FABIO;DIEGO ALMEIDA;7.1.2.3;100%;1;0;;;12/01/2026;12/01/2026;;NÃO;NÃO;;-9.32959;-40.297117;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1182462;ER-CIND-POV-LAGOA DOS BOIS 23-RURAL;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;IVONALDO;NELSON;SANDRO SANTOS;7.1.2.3;100%;1;1;;;12/01/2026;12/01/2026;;NÃO;NÃO;;-9.498119;-40.186957;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
1203240;AC-CIND-RUA-MARIA D LEITE 37-A-J VITORIA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;;IVONALDO;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;1;1;;;12/01/2026;12/01/2026;;SIM;NÃO;;-9.420795;-40.512504;Ver no Mapa;;;;;;JUAZEIRO;2026-01-01;Consolidado;N/A
