CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102072423;1149197;ER-CIND-FAZ-CAMPO LARGO-RURAL-TABULEIRO;REMANSO;;;;;NÃO INICIADA;1;4;;;;;;100%;R$ 14.896,19;;13/01/2025;25/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;APROVADA;E681513;E681517;JUAZEIRO;01/01/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006139;1157379;RS-COEL-SAIDA AL NOVA TOURAO;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;0;;;;;;100%;R$ 1.159.132,21;R$ 347.739,66;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;01/01/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006140;1157282;AL 06-NOVA TOUR O - CONSTRU  O 1 3;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;1;;;;;;100%;R$ 15.075,30;R$ 4.522,59;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;FAZER;;;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101792296;1035173;ER-CIND-POV-MALHADINHA-RURAL;REMANSO;;PENDENTE LV;;;CONCLUIDA;1;3;3;;;;;100%;R$ 24.707,26;;13/01/2025;22/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;APROVADA/1013566-2024;E681525;E681528;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102083347;1146821;ER-CIND-POV-CURRAL VELHO-RURAL;CURAÇÁ;;;;;CONCLUIDA;1;2;2;;;;;100%;R$ 27.787,06;R$ 6.946,77;01/01/2025;07/01/2025;;;CARLOS EDUARDO;;;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;66;17;;;;PLANO 7;25%;R$ 1.402.835,24;R$ 420.850,57;13/01/2025;30/04/2025;GISMARIO;EDIE JONNES;VICTOR;-9,4486895;-40,5232215;;jan.-25;FALSE;;FALSE;FALSE;1016645/APROVADA ;E710264 ;E710333;JUAZEIRO;01/01/2025;Consolidado;N/A
ESTRATÉGICA;9102046058;1131135;EQ-CIND-ROD-JUAZEIRO CURACA-RURAL;JUAZEIRO;;;MIGRAR;;NÃO INICIADA;0;3;;;;;;100%;R$ 366.663,28;R$ 91.665,82;01/01/2025;31/01/2025;;;VICTOR COSTA;;;;;FALSE;;FALSE;FALSE;APROVADA;E647095;E647097;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102125688;1161869;ER-CIND-FAZ-MASSAYO -RURAL;JUAZEIRO;;REGULADOR LM+LV;;;NÃO INICIADA;0;4;4;;;;PLANO 7;100%;R$ 362.692,55;R$ 108.807,77;15/01/2025;29/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,475;-40,428328;;jan.-25;FALSE;;FALSE;FALSE;1016681/APROVADA;E710917;E710922;JUAZEIRO;01/01/2025;Consolidado;N/A
EQUIPAMENTO;9102166175;1182070;IE-BC AUTOMATICO-RMN-01Z1-B781463;REMANSO;;;;;CONCLUIDA;0;0;0;;;;;100%;R$ 73.310,79;R$ 18.327,70;08/01/2025;15/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
EQUIPAMENTO;9102166174;1182052;IE-BC AUTOMATICO-RMN-01Z2-B000000;REMANSO;;;;;CONCLUIDA;0;0;0;;;;;100%;R$ 73.310,79;R$ 18.327,70;08/01/2025;15/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;01/01/2025;Consolidado;N/A
