CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9102138659;1166752;ER-CIND-POV-LAGOA DO TOURO-SERTAOZINHO;JUAZEIRO;;;;;;;CONCLUIDA;18/06/2025;1;16;20;16;;;PLANO 7;100%;;;R$ 27.200,00;25/06/2025;30/06/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA;E800625;E800644;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9101769479;1045158;MP-CCOL-POV-CANAA CALDEIRAOZINHO RURAL;SOBRADINHO;;OK;MIGRAR;;LV;;CONCLUIDA;27/06/2025;3;15;11;15;;;PLANO 14;100%;R$ 135.319,31;;R$ 25.500,00;23/06/2025;27/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E774073;E774087;JUAZEIRO;01/06/2025;Consolidado;N/A
AL/MELHORAMENTO;9102128052;1160624;ME-COEL-AG AGUAS BELAS-99999;JUAZEIRO;;OK;MIGRAR;;;;CONCLUIDA;07/06/2025;1;13;13;13;;;PLANO 8;100%;R$ 127.773,10;;R$ 22.100,00;03/06/2025;07/06/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E774801;E774813;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102124586;1161420;ER-CIND-FAZ-BRANDAO-RURAL;CURAÇÁ / UAUÁ;;;;;;;CONCLUIDA;12/06/2025;1;12;12;12;;;PLANO 7;100%;;;R$ 20.400,00;03/06/2025;15/06/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E799832;E799843;JUAZEIRO;01/06/2025;Consolidado;N/A
QLA;9101725732;1009250;ER CIND POV BREJO DE FORA RURAL;SENTO SÉ;; ;MIGRAR;;;;NÃO INICIADA;;;3;;3;;;PLANO 7;100%;R$ 23.591,18;;R$ 5.100,00;15/06/2025;13/06/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA;E800436;E800438;JUAZEIRO;01/06/2025;Consolidado;N/A
ESTRATÉGICA;9102045961;1135898;ER-CIND-POV-CARNAIBA DO SERTAO-RURAL;JUAZEIRO;;;MIGRAR;;;;NÃO INICIADA;;1;3;;3;;;PLANO 7;100%;;;R$ 5.100,00;30/06/2025;30/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E774746;E774748;JUAZEIRO;01/06/2025;Consolidado;N/A
AIC AUDITORIA;9101770901;1057733;MP-CIND-POV-CRUZ II-RIO RURAL;JUAZEIRO;;OK;MIGRAR;;;;CONCLUIDA;26/06/2025;1;10;5;10;;;PLANO 14;100%;R$ 202.269,44;;R$ 17.000,00;25/06/2025;30/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E774304;E774313;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102195507;1191865;ER-CIND-POV-TATAUI-RURAL;SOBRADINHO;;OK;MIGRAR;;;;CONCLUIDA;07/06/2025;2;9;9;9;;;PLANO 7;100%;R$ 66.652,13;;R$ 15.300,00;18/06/2025;30/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777237;E777245;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102096113;1152296;ER-CCOL-FAZ-ROCADO-CORRENTEZA;SOBRADINHO;;;;;;;CONCLUIDA;20/06/2025;4;6;6;6;;;PLANO 7;100%;;;R$ 10.200,00;16/06/2025;20/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E800471;E800476;JUAZEIRO;01/06/2025;Consolidado;N/A
INTERV SEGURANÇA;9102244605;1197173;IS-COEL-AV-MARIA DA G  DE JESUS-J  VITOR;JUAZEIRO;;;MIGRAR;;;;NÃO INICIADA;;0;8;;8;;;PLANO 8;100%;;;R$ 13.600,00;13/06/2025;30/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E777259;E777266;JUAZEIRO;01/06/2025;Consolidado;N/A
REPUTACIONAL;9102011034;1122838;RR-CIND-FAZ-PROJETO NILO COELHO-CASA NOV;CASA NOVA;;;;;;;NÃO INICIADA;;0;10;;10;;;PLANO 7;100%;;;R$ 17.000,00;25/06/2025;30/06/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799849;E799858;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102128878;1164868;ER-CIND-POV-GOIABEIRA II-GOIABEIRA II;JUAZEIRO;;OK;MIGRAR;MIGRAR;;;CONCLUIDA;04/06/2025;2;5;5;5;;;;100%;R$ 62.327,12;;R$ 8.500,00;04/06/2025;10/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E750187;E750191;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102131339;1164340;ER-CIND-POV-TATAUI-RURAL;SOBRADINHO;;OK;MIGRAR;;;;CONCLUIDA;04/06/2025;2;4;4;4;;;PLANO 7;100%;R$ 24.026,53;;R$ 6.800,00;03/06/2025;07/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E774814;E774817;JUAZEIRO;01/06/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;;OK;ENTREGA;;;;CONCLUIDA;26/06/2025;1;4;4;4;;;PLANO 7;100%;R$ 69.502,35;;R$ 6.800,00;24/06/2025;28/06/2025;AILTON / DANIEL;PAULO JUNIOR;;;;;1016690/APROVADA;E710834;E710841;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9102021225;1129437;LD CIND FAZ MANI OBA VELHA RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;1;15;;15;;;PLANO 7;100%;;;R$ 25.500,00;12/06/2025;21/06/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E799948;E799948;JUAZEIRO;01/06/2025;Consolidado;N/A
GRUPO A;9102238566;1193657;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;OK;ENTREGA;;;;CONCLUIDA;05/06/2025;0;3;3;3;;;PLANO 8;100%;R$ 255.026,24;;R$ 5.100,00;01/06/2025;07/06/2025;LINHA VIVA;ANDERSON;;;;;DA PLANILHA;E619946;E619948;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102158911;1183616;UB-CIND-RUA- PROJETADA 21-M DA AREIA;JUAZEIRO;;;;;;;CONCLUIDA;14/06/2025;0;3;3;3;;;PLANO 7;100%;;;R$ 5.100,00;16/06/2025;20/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799871;E799873;JUAZEIRO;01/06/2025;Consolidado;N/A
AIC OBJETIVO;9101932015;1092651;MP-CCOL-RUA DA CONCEIÇÃO-RURAL;SENTO SÉ;;;MIGRAR;;;;NÃO INICIADA;;3;15;;15;;;PLANO 14;100%;;;R$ 25.500,00;04/06/2025;15/06/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA ;E750027;E750041;JUAZEIRO;01/06/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102157567;1177513;UB-CIND-LOT-QD QUIL 100-URBANA;JUAZEIRO;;;;;;;CONCLUIDA;18/06/2025;0;2;2;2;;;PLANO 7;100%;;;R$ 3.400,00;20/06/2025;27/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799865;E799866;JUAZEIRO;01/06/2025;Consolidado;N/A
