CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;STATUS 2;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9101967243;1112429;MP-CIND-POV-JAZIDA RURAL;JUAZEIRO;;OK;MIGRAR;;;;CONCLUIDA;01/07/2025;3;35;35;35;;;PLANO 14;100%;;;R$ 59.500,00;03/06/2025;03/07/2025;JACSON;SANTIAGO;;;;;DA PLANILHA;E800494;E800526;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102021225;1129437;LD CIND FAZ MANI OBA VELHA RURAL;JUAZEIRO;MIGRAR;OK;MIGRAR;;;;ESCAVAÇÃO;;1;15;;15;;;PLANO 7;100%;;;R$ 25.500,00;09/08/2025;15/08/2025;PEDRO LINO;ANDERSON;;;;;;;;JUAZEIRO;01/07/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101996009;1119796;RR-CIND-FAZ-FRADE-CANOA;JUAZEIRO;MIGRAR;OK;MIGRAR;DETONAÇÃO;;;ESCAVAÇÃO;;1;12;;12;;;PLANO 14;100%;;;R$ 20.400,00;16/07/2025;25/07/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E820164;E820175;JUAZEIRO;01/07/2025;Consolidado;N/A
QLP;9102075676;1157515;MP-CIND-POV.RURAL;CURAÇÁ;;OK;MIGRAR;;;;CONCLUIDA;;1;31;31;31;;;PLANO 7;100%;;;R$ 52.700,00;01/07/2025;12/07/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA ;E799580;E799609;JUAZEIRO;01/07/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102100385;1157155;UB-CIND-ROD-LOMANTO-CARNAIBA DO SERTAO;JUAZEIRO;MIGRAR;APP;;DETONAÇÃO;;;ESCAVAÇÃO;;1;3;;3;;;7.1.1.3;100%;R$ 42.065,35;R$ 8.413,07;R$ 5.100,00;16/07/2025;25/07/2025;PEDRO BATISTA ;EDIE JONNES;VICTOR COSTA;-9,59304;-40,4201;;DA PLANILHA;E820017;E820019;JUAZEIRO;01/07/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102243605;1203210;ER-CIND-FAZ- LAPAO -RURAL;UAUÁ;;APP;;;;;CONCLUIDA;;1;19;19;19;;;7.1.2.3;100%;R$ 98.759,62;R$ 19.751,92;R$ 32.300,00;18/07/2025;28/07/2025;JOÃO BATISTA;EDIE JONNES;CARLOS EDUARDO;-9,81495;-39,5477;;DA PLANILHA;E820037;E820063;JUAZEIRO;01/07/2025;Consolidado;N/A
JUDICIAL;9101986443;1119499;RR-CIND-POV-CARNAIBA DE DENTRO-RURAL;JUAZEIRO;;OK;OURO;;;;CONCLUIDA;;1;11;11;11;;;14.4.12.1;100%;R$ 87.270,58;R$ 17.454,12;R$ 18.700,00;03/07/2025;12/07/2025;PEDRO BATISTA;EDIE JONNES;VICTOR COSTA;-9,58219;-40,3779;;DA PLANILHA;E819948;E819957;JUAZEIRO;01/07/2025;Consolidado;N/A
QLP;9102019137;1127877;ER-CIND-POV-CURACA-RURAL;JUAZEIRO;MIGRAR;;MIGRAR;DETONAÇÃO;;;ESCAVAÇÃO;;1;2;;2;;;PLANO 7;100%;;;R$ 3.400,00;17/07/2025;31/07/2025;PEDRO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E799867;E799868;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9102011034;1122838;RR-CIND-FAZ-PROJETO NILO COELHO-CASA NOV;CASA NOVA;;OK;;;;;CONCLUIDA;;0;11;11;11;;;PLANO 7;100%;;;R$ 18.700,00;25/06/2025;21/07/2025;AILTON / SILVONEY;PAULO JUNIOR;;;;;DA PLANILHA;E799849;E799858;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9102248113;1203217;AC-CIND-ROD-BA 210-VL TIRADENTES;JUAZEIRO;ENTREGA;;OURO;;;;ESCAVAÇÃO;;1;2;;2;;;7.1.2.3;100%;R$ 43.486,87;R$ 8.697,37;R$ 3.400,00;17/07/2025;23/07/2025;PEDRO BATISTA;EDIE JONNES;DIEGO CARVALHO;0;0;;DA PLANILHA;E820023;E820024;JUAZEIRO;01/07/2025;Consolidado;N/A
EQUIPAMENTO;9102103396;1136743;EQ-CIND-POV-CURAÇA PEQUENO-RURAL;JUAZEIRO;MIGRAR;OK;MIGRAR;;;;EM EXECUÇÃO;;0;2;;2;;;PLANO 7;100%;R$ 423.821,91;;R$ 3.400,00;01/06/2025;20/07/2025;FABIO/ FERNANDO;SANTIAGO;;;;;DA PLANILHA;E774768;E774769;JUAZEIRO;01/07/2025;Consolidado;N/A
