CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
EQUIPAMENTO;9102170254;1191690;ME-COEL-ET-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;OK;;MIGRAR;;NÃO INICIADA;;0;2;;;;;;70%;R$ 444.810,94;R$ 111.202,74;R$ 4.200,00;01/05/2025;03/05/2025;JUAREZ;EDIE JONNES;;-9,4327488;-39,8540952;;;;;;;1016645/APROVADA ;E710264 ;E710333;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102081086;1144577;UB-CIND-AV-DEP R QUEIROZ-CENTRO;PILÃO ARCADO;;;;;;NÃO INICIADA;;1;2;;;;;;100%;R$ 43.544,14;R$ 10.886,04;R$ 4.200,00;28/04/2025;28/04/2025;AILTON;PAULO JUNIOR;;-10,007021;-42,490931;;;;;;;DA PLANILHA ;E750523;E750524;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102121948;1166759;AC-CIND-POV-PARA RURAL-BEM BOM;CASA NOVA;;;;;;NÃO INICIADA;;0;2;;;;;;100%;R$ 43.453,82;R$ 10.863,46;R$ 4.200,00;28/04/2025;28/04/2025;DANIEL;PAULO JUNIOR;DIEGO;-9,629535;-41,839633;;;;;;;DA PLANILHA;E750236;E750237;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102157989;1185126;AC-CIND-SI-BARREIRINHO-RURAL-CASA NOVA;CASA NOVA;03/04;OK;MIGRADA;;;CONCLUIDA;;1;0;;0;;;PLANO 7;100%;R$ 23.282,58;R$ 5.820,65;R$ 0,00;04/04/2025;04/04/2025;DOMINGOS;PAULO JUNIOR;DIEGO;-9,184291284;-40,95207612;;mar.-25;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
REPUTACIONAL OURO;9102066379;1158033;MP-CIND-POV.GERGELIM 999-RURAL;CAMPO ALEGRE DE LOURDES;;OK;;MIGRAR;;NÃO INICIADA;;3;34;;;;;;100%;R$ 745.323,36;R$ 186.330,84;R$ 71.400,00;28/04/2025;16/05/2025;DOMINGOS;PAULO JUNIOR;DIEGO;-9,5673699;-42,9716946;;;;;;;DA PLANILHA ;E750259;E750292;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102181500;1192300;AC-CIND-AV-MARAVILHA 1002-CENTRO-L PIRES;UAUÁ;01/04;OK;abril-25;;;CONCLUIDA;;1;0;;0;;;;100%;R$ 25.729,88;R$ 6.432,47;R$ 0,00;;;MAURICIO;EDIE JONNES;;-10,013852;-39,500342;;;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
RECLAMAÇÃO;9102134612;1163359;AC-CIND-POV- JAQUINICO-RURAL;CURAÇÁ;;;;;;CONCLUIDA;;0;0;;0;;;PLANO 7;100%;R$ 34.425,82;R$ 8.606,46;;18/04/2025;22/04/2025;PEPEU;;CARLOS EDUARDO;-9,1621406;-39,5808077;;;;;;;;;;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102171191;1189586;ER-CIND-POV-FAZ SERRA DA ESPERANCA-RURAL;CASA NOVA;;;;;;NÃO INICIADA;;1;0;;;;;;100%;R$ 17.436,33;;R$ 0,00;30/04/2025;30/04/2025;DANIEL;PAULO JUNIOR;DIEGO;-9,306858;-40,929346;;;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153146;1177311;ER-CIND-POV-TANQUINHO-RURAL;CASA NOVA;;;;;;NÃO INICIADA;;1;2;;;;;;100%;R$ 10.749,70;R$ 2.687,43;R$ 4.200,00;29/04/2025;29/04/2025;AILTON;PAULO JUNIOR;DIEGO;-8,7938755;-41,090002;;;;;;;DA PLANILHA;E750192;E750193;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102162790;1190119;UB-CIND-CA-J 357-PARQUE RESIDENCIAL;JUAZEIRO;;;abril-25;;;CONCLUIDA;;1;0;;0;;;;100%;R$ 32.419,62;;R$ 0,00;24/04/2025;24/04/2025;PAULO;SANTIAGO;;-9,476314;-40,49265;;;;;;;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
GOVERNO OURO;9102132731;1164542;ER-SEIN-RUA-DR TANCREDO NEVES-RURAL;SENTO SÉ;;EMERSON;;EMERSON;;NÃO INICIADA;;1;50;;;;;;100%;R$ 411.392,31;R$ 102.848,08;R$ 105.000,00;01/04/2025;30/04/2025;EMERSON;EMERSON;;;;;;;;;;DA PLANILHA ;E749923;E749972;JUAZEIRO;01/04/2025;Consolidado;N/A
