PROJETO_FATO;Carteira;COORD;TÍTULO;MUNICIPIO;STATUS;CLIET.;PSTP;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVNP;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;TITULO;CRITERIO;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;RESPONSÁVEL;CLIENTE;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERG. INFORMADA;OBS.1
1141807;;JUAZEIRO;;CASA NOVA;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;FERNANDO;SANTIAGO;;-9.318951;-41.123503;;;;;;;;;;ER-CIND-POV-ENTRONCAMENTO-RECREIO;;CONCLUÍDA;; 3 EQUIPES ADC;SANDRO SANTOS;;10/09/2025;10/09/2025;26/09/2025;;NÃO;SIM;;Ver no Mapa;10/09/2025;29/09/2025;;
1146131;;JUAZEIRO;;CASA NOVA;EM EXECUÇÃO;;394;;;;7.1.2.3;25%;;;FERNANDO;PAULO JUNIOR;;-9.335318;-41.8057884;;;;;;;;;;AC-REGFV-CCOL-POV DESTERRO-CAI ARA-III;;IMPLANTAÇÃO;;OURO;DIEGO ALMEIDA;141;;;;;;;;Ver no Mapa;;;;
0763601;;JUAZEIRO;;CASA NOVA;EM EXECUÇÃO;;541;;;;14.7.2.3;10%;;;FERNANDO;PAULO JUNIOR;;-9.1112573;-41.3759639;;;;;;;;;;MP-CCOL-POV CANOINHA-RURAL;;NÃO INICIADA;;OURO;DIEGO ALMEIDA;25;;;;;;;;Ver no Mapa;;;;
1206677;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;2;;;;7.1.2.3;100%;;;GISMARIO;EDIE JONNES;;-9.5913002;-39.8762128;;23/09/2025;;;;;;;;RR CIND FZ MACHADO PINHOES;;CONCLUÍDA;;INICIAR ESCAVAÇÃO 09/09;VICTOR BARROS;1;;16/09/2025;16/09/2025;;SIM;NÃO;;Ver no Mapa;23/09/2025;23/09/2025;23/09/2025;
1182387;;JUAZEIRO;;SOBRADINHO;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;PEDRO LINO;ANDERSON;;-9.525592;-40.7644843;;11/09/2025;;;;;;;;ER-CIND-FAZ-TOGUEMBURGO-SANTANA RURAL;;CONCLUÍDA;;;DIEGO ALMEIDA;1;06/03/2025;06/09/2025;06/09/2025;;NÃO;NÃO;;Ver no Mapa;06/09/2025;11/09/2025;12/09/2025;
1212274;;JUAZEIRO;;SOBRADINHO;CONCLUIDA;;2;2;;;14.7.2.3;100%;;;PEDRO LINO;ANDERSON;;-9.5719662;-40.7752113;;12/09/2025;;;;;;;;ER-CIND-POV-LAGOA GRANDE 9999-RURAL;;CONCLUÍDA;;;DIEGO ALMEIDA;;06/09/2025;06/09/2025;06/09/2025;;SIM;NÃO;;Ver no Mapa;06/09/2025;11/09/2025;12/09/2025;
1206973;;JUAZEIRO;;CURAÇÁ;MIGRAR;;4;;;;7.1.2.3;100%;;;FABIO;EDIE JONNES;;-9.055737;-39.9652039;;;;;;;;;;RR-GRUA-FAZ-JURITI-RURAL-CURACA;;EQUIPAMENTO;;OURO MUDANÇA DE LOCALIDADE;CARLOS EDUARDO;1;;03/09/2025;05/09/2025;26/09/2025;SIM;;;Ver no Mapa;;;;
1215350;;JUAZEIRO;;UAUÁ;CONCLUIDA;;2;2;;;7.1.1.3;100%;;;JUAREZ;EDIE JONNES;;-10.0114557;-39.4956916;;16/09/2025;;;;;;;;AC-GOVE-RUA-7 DE SETEMBRO-CENTRO;;CONCLUÍDA;;;CARLOS EDUARDO;1;16/09/2025;16/09/2025;16/09/2025;;SIM;NÃO;;Ver no Mapa;16/09/2025;16/09/2025;16/09/2025;
1227157;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;6;7;;;7.1.1.3;100%;;;JUAREZ;IVONALDO;;-9.450665;-40.521059;;02/12/2025;;;;;;;;UB-CIND-ROD-JUAZEIRO SOBRADIN 11-A-D J R;INSTITUCIONAL;CONCLUÍDA;COMPLETO;;VICTOR BARROS;1;;02/12/2025;05/12/2025;;SIM;NÃO;;Ver no Mapa;02/12/2025;02/12/2025;SIM;
1177271;;JUAZEIRO;;CURAÇÁ;MIGRAR;;6;;;;7.1.1.3;100%;;;FABIO;EDIE JONNES;;-9.0731065;-39.9175208;;;;;;;;;;RR-GRUA-POV-CURACA EB 06 KM085-RURAL;;NÃO INICIADA;;OURO;CARLOS EDUARDO;1;;24/09/2025;26/09/2025;26/09/2025;SIM;;;Ver no Mapa;;;;
